"(€ min);2023;2022;2023;2022;2023;2022
Electricity generation using solar photovoltaic technology;192;31;606;603;86;15
Electricity generation (wind);168;79;138;906;25;28
Manufacture of biogas and biofuels for use in transport and of bioliquids;660;667;224;97;64;24
Manufacture of plastics in primary form;59;;745;;5;
Electricity generation from bioenergy;35;41;2;1;8;5
Underground permanent geological storage of CO2;;;;145;78;;
Infrastructure enabling low carbon road transport and public transport;;;;121;60;;
Other;5;5;31;8;2;3
Total aligned;1,119;823;2,012;1,753;190;75
Consolidated;93,717;132,512;13,665;12,396;3,979;4,160
Taxonomy KPI;1.2%;0.6%;14.7%;14.1%;4.8%;1.8%"
