";Positive Impacts
CLIMATE CHANGE SDG: 6 12 14 15;Investments in zero- and low-carbon technology
HUMAN CAPITAL SDG: 1 2 3 8 10 16;Developing employees’ skills and improving career opportunities through training activities
EQUAL TREATMENT AND OPPORTUNITIES FOR ALL SDG: 3 5 7 8 9 10 12 13 16 17;Increase employee well-being through adequate welfare and equal opportunity plans
OCCUPATIONAL HEALTH AND SAFETY AND PROCESS SAFETY SDG: 4 8 11 14 15;Increased health and safety awareness of employees through training activities and service reliability through proper maintenance and constant monitoring of infrastructure and asset integrity
POLLUTION SDG: 3 6 9 12;Environmental impact due to incorrect waste management
WATER RESOURCES SDG: 6;Water conservation and management initiatives
BIODIVERSITY AND ECOSYSTEMS SDG: 1 2 3 8 10 16;Creation of new natural habitats through the use of abandoned structures, land conservation projects, land restoration/land remediation and forest conservation
CIRCULAR ECONOMY AND WASTE MANAGEMENT SDG: 6 12 14 15;Reducing the use of natural resources through practices and processes aimed at recycling and recovery
HUMAN RIGHTS SDG: 1 2 3 8 10 16;Protection and respect of human rights through due diligence on corporate activities and those of suppliers and commercial partners
RESPONSIBLE SUPPLY CHAIN MANAGEMENT SDG: 3 5 7 8 9 10 12 13 16 17;Spreading environmental and social sustainability principles through the involvement of suppliers and supply chain partners
CUSTOMER RELATIONS SDG: 7 12 16;Fostering strong customer relationships through engagement, listening and customer care
BUSINESS CONDUCT SDG: 16 17;Creating economic value in the territories of presence with investments, payment of taxes and royalties
CLOSURE AND REHABILITATION SDG: 4 8 11 14 15;Re-use of abandoned facilities, materials and plants for the benefit of local communities
LOCAL DEVELOPMENT AND ACCESS TO ENERGY SDG: 1 2 3 4 5 6 7 8 9 10 13 15 17;Development of communities and local entrepreneurship through initiatives in various policy areas, including partnerships and business agreements with local suppliers, creating infrastructure, and improving the service quality in remote areas
DIGITALIZATION AND CYBER SECURITY SDG: 7 9 12 13 16;Innovative initiatives for the development of company processes, partner support and improving cyber security in Countries of presence through partnerships with institutions and companies"
