"EXPLORATION &amp; PRODUCTION; ;2023;2022;2021
Hydrocarbon production;(kboe/d);1,655;1,610;1,682
Net proved reserves of hydrocarbons;(mmboe);6,414;6,614;6,628
Reserve life index;(years);10.6;11.3;10.8
Organic reserve replacement ratio;(%) ;69;47;55
Profit per boe;($/boe);14.5;9.8;4.8
Opex per boe; ;8.6;8.4;7.5
Finding &amp; Development cost per boe; ;26.3;24.3;20.4
GLOBAL GAS &amp; LNG PORTFOLIO; ;2023;2022;2021
Natural gas sales;(bcm);50.51;60.52;70.45
of which: Italy; ;24.40;30.67;36.88
outside Italy; ;26.11;29.85;33.57
LNG sales; ;9.6;9.4;10.9
ENILIVE, MARKETING AND CHEMICALS; ;2023;2022;2021
Capacity of biorefineries;(mmtonnes/year);1.65;1.10;1.10
Sold production of biofuels;(ktonnes);635;428;585
Average bio refineries utilization rate;(%) ;72;58;65
Retail market share in Italy; ;21.4;21.7;22.2
Retail sales of petroleum products in Europe;(mmtonnes);7.5;7.5;7.2
Service stations in Europe at year end;(number);5,267;5,243;5,314
Average throughput of service stations in Europe;(kliters);1,645;1,587;1,521
Average oil refineries utilization rate;(%) ;77;79;76
Production of chemical products;(ktonnes);5,663;6,856;8,496
Average chemical plant utilization rate;(%) ;51;59;66
PLENITUDE &amp; POWER; ;2023;2022;2021
Renewable installed capacity at period end;(gw);3.0;2.2;1.1
Energy production from renewable sources;(twh);3.98;2.55;0.99
Retail and business gas sales;(bcm);6.06;6.84;7.85
Retail and business power sales to end customers;(twh);17.98;18.77;16.49
Retail and business customers at period end;(mln pod);10.11;10.07;10.04
EV charging points;(thousand);19.0;13.1;6.2
Thermoelectric production;(twh);20.66;21.37;22.31"
