"Items of Summarized Group Balance Sheet (where not expressly indicated, the item derives directly from the statutory scheme); ;Notes to the Consolidated Financial Statement;Amounts from | statutory scheme;Amounts of the summarized Group scheme;Amounts from | statutory scheme;of the summarized Group scheme
Fixed assets; ; ; ; ; ; 
Property, plant and equipment; ; ; ; 56,299; ; 56,332
Right of use; ; ; ; 4,834; ; 4,446
Intangible assets; ; ; ; 6,379; ; 5,525
Inventories - Compulsory stock; ; ; ; 1,576; ; 1,786
Equity-accounted investments and other investments; ; ; ; 13,886; ; 13,294
Receivables and securities held for operating activities; ;(see note 17); ; 2,335; ; 1,978
Net payables related to capital expenditure, made up of:; ; ; ; (2,031); ; (2,320)
- liabilities for current investment assets; ;(see note 11); (36); ; (4); ; 
- liabilities for no current investment assets; ;(see note 11); (65); ; (79); ; 
- receivables related to disposals; ;(see note 8); 200; ; 301; ; 
- receivables related to disposals non-current; ;(see note 11); 205; ; 23; ; 
- payables for purchase of non-current assets; ;(see note 18); (2,335); ; (2,561); ; 
; ; ; ; ; ; 
Total fixed assets; ; ; ; 83,278; ; 81,041
Net working capital; ; ; ; ; ; 
Inventories Trade receivables; ;(see note 8); ; 6,186 13,184; ; 7,709 16,556
Trade payables; ;(see note 18); ; (14,231); ; (19,527)
Net tax assets (liabilities), made up of:; ; ; ; (2,112); ; (2,991)
- current income tax payables; ; ; ; (1,685); ; (2,108)
-non-current income tax payables; ; ; ; (38); ; (253)
liabilities; ; ; ; ; ; 
- other current tax; ;(see note 11); (1,811); ; (1,463); ; 
- deferred tax liabilities; ; ; ; (4,702); ; (5,094)
- other non-current tax liabilities; ;(see note 11); (16); ; (34); ; 
~ current income tax receivables; ; ; ; 460; ; 317
-non-current income tax receivables; ; ; ; 142; ; 114
- other current tax assets; ;(see note 11); 915; ; 807; ; 
- deferred tax assets; ; ; ; 4,482; ; 4,569
; ; ; ; ; ; 
- other non-current tax assets; ;(see note 11); 137; ; 187; ; 
- receivables for Italian consolidated accounts; ;(see note 8); 9; ; 3; ; 
; ; ; ; ; ; 
- payables for Italian consolidated accounts; ;(see note 18); (5); ; (6); ; 
; ; ; ; ; ; 
Provisions; ; ; ; (15,533); ; (15,267)
Other current assets and liabilities, made up of:; ; ; ; (892); ; 316
- short-term financial receivables for; ;note; 7; ; 8; ; 
operating purposes; ;(see 17); ; ; ; ; 
- receivables vs. partners for exploration and production activities and other; ;(see note 8); 3,158; ; 3,980; ; 
- other current assets; ;(see note 11); 4,722; ; 12,014; ; 
- other receivables and other assets non-current; ;(see note 11); 3,051; ; 2,056; ; 
advances, other payables, payables vs. partners for exploration and production activities and; ;other; (see note 18); (4,083); ; (3,615); ; 
- other current liabilities; ;(see note 11); (3,732); ; (11,006); ; 
- other payables and other liabilities non-current; ;(see note 11); (4,015); ; (3,121); ; 
Total net working capital; ; ; ; (13,398); ; (13,204)
Provisions for employee benefits; ; ; ; (748); ; (786)
Assets held for sale including related liabilities; ; ; ; TAT; ; 156
made up of:; ; ; ; ; ; 
- assets held for sale; ; ; ; 2,609; ; 264
- liabilities directly associated with held for sale; ; ; ; (1,862); ; (108)
CAPITAL EMPLOYED, NET; ; ; ; 69,879; ; 67,207
Shareholders’ equity including non-controlling interest; ; ; ; 53,644; ; 55,230
Net borrowings; ; ; ; ; ; 
Total debt, made up of:; ; ; ; 28,729; ; 26,917
- long-term debt; ; ; ; 21,716; ; 19,374
- current portion of long-term debt; ; ; ; 2,921; ; 3,097
- short-term debt; ; ; ; 4,092; ; 4,446
less:; ; ; ; ; ; 
Cash and cash equivalents; ; ; ; (10,193); ; (10,155)
Financial assets measured at fair value through profit or loss; ; ; ; (6,782); ; (8,251)
Financing receivables held for non-operating purposes; ;(see note 17); ; (855); ; (1,485)"
