KEY PERFORMANCE INDICATORS;;2023;2022;2021
TRIR (Total Recordable Injury Rate);(total recordable injuries/worked hours) x 1.000.000;0.75;0.81;0.8
of which: employees;;0.96;0.95;1.13
contractors;;0.5;0.69;0.49
Bio throughputs;(ktonnes);866;543;665
Biorefining capacity;(mmtonnes/year);1.65;1.1;1.1
Average biorefineries utilization rate;(%) ;72;58;65
Conversion index of oil refineries;;47;42;49
Average oil refineries utilization rate;;77;79;76
Retail sales of petroleum products in Europe;(mmtonnes);7.51;7.5;7.23
Service stations in Europe at year end;(number);5267;5243;5314
Average throughput per service station in Europe;(kliters);1645;1587;1521
Retail efficiency index;(%) ;1.19;1.2;1.19
Production of chemical products;(ktonnes);5663;6856;8496
Sale of chemical products;;3117;3752;4471
Average chemical plant utilization rate;(%) ;51;59;66
Employees at year end;(number);14092;13132;13072
of which: outside Italy;;4257;4146;4044
Direct GHG emissions (Scope 1);(mmtonnes CO2 eq.);5.69;6;6.72
Direct GHG emissions (Scope 1)/Refinery throughputs (raw and semi-finished materials);(tonnes CO2 eq./ktonnes);232;233;228
