"Exploration &amp; Production;6,148;6,017;5,976;131;2.2
Global Gas &amp; LNG Portfolio;233;217;174;16;7.4
Enilive, Refining and Chemicals;524;506;512;18;3.6
- Enilive and Refining;418;389;417;29;7.5
- Chemicals;106;117;95;(11);(9.4)
Plenitude &amp; Power;466;358;286;108;30.2
- Plenitude;404;307;241;97;31.6
- Power;62;51;45;11;21.6
Corporate and other activities;142;140;148;2;1.4
Impact of unrealized intragroup profit elimination;(34);(33);(33);(1);
Total depreciation, depletion and amortization;7,479;7,205;7,063;274;3.8
Impairment losses (impairment reversals) of tangible and intangible and right of use assets, net;1,802;1,140;167;662;58.1
Depreciation, depletion, amortization, impairments and reversals, net;9,281;8,345;7,230;936;11.2
Write-off of tangible and intangible assets;535;599;387;(64);(10.7)"
