"; ; ; el; ; n-el?; el; n-el? n-el?; el; n-el?; el; n-el?
; ; ; 6.5. Transport by motorbikes,; ; ; passenger cars and light CCM
commercial vehicles; 6.5.; ; 16; 2%; el; n-el; n-el; n-el; n-el; n-el; 
; ; ; 7.3. Installation,; ; ; maintenance, and repair
; ; ; of energy efficiency; ; ; equipment 7.7. and
; ; ; acquisition ownership of buildings; ; ; 
(building leases); ; ; 299; 36%; el; n-el; n-el; n-el; n-el; n-el; 
; ; ; CapEx of taxonomy-; ; ; eligible but not
; ; ; environmentally; ; ; sustainable activities (not
; ; ; taxonomy-aligned; ; ; activities) (A.2.)
activities; ; ; 337; 40%; ; 0%; 0%; ; 0%; 0%; 
otal (A.1. + A.2.); ; ; 344; 41%; ; 0%; 0%; ; 0%; 0%;"
