index,question,value,response
0,Which company has the lowest energy consumption over the last 2 years among the following companies in TWh?,NASDAQ_DASTY, otc_dpsgy
1,What is the lowest energy consumption over the last 2 years among the following companies in GWh?,66.35, 66.35
2,Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2eq?,axa, axa
3,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in million mt CO2e?,43.79, 38378.50
4,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,OTC_SU, otc_su
5,Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"NASDAQ_DASTY, heidelberg-materials", nasdaq_dasty
6,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,21.25, 21.23
7,What is the average percentage of hazardous waste generated in 2023 among the following companies?,6.08, 6.05
8,Which companies have the top 2 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,"munich-re, OTC_BAYZF"," otc_bayzf, otc_esocf"
9,What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in tons?,"104.8, 47652.0", 378.00
10,What is the average percentage of energy consumption from renewable sources in 2023 among the following companies?,35.01, 35.34
11,What is the average percentage of hazardous waste generated in 2022 among the following companies?,21.64, 35.41
12,What are the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"38.77, 6.1"," 38.76, 6.10"
13,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,vivendi, vivendi
14,Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in MWh?,"heidelberg-materials, OTC_DPSGY"," otc_dpsgy, heidelberg-materials"
15,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,40300000.0, 40.30
16,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,20.01, -20.02%
17,Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in million mt CO2e?,OTC_ESOCF, munich-re
18,What are the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in MWh?,"94006047.43, 34774500.0"," 93975.97, 76992.00"
19,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tonnes?,714800.0, 714800.00
20,What are the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in tons?,"47652.0, 3751.0"," 44.00, 8.00"
21,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in Tonnes of CO2 equivalent?,"terna, OTC_ESOCF"," otc_adddf, otc_esocf"
22,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in Tonnes CO2 equivalents?,"OTC_RWNEF, vivendi"," vivendi, munich-re"
23,What is the total energy consumption generated by the following companies in the last 3 years in TJ?,3095795.0, 1403387.00 tj
24,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,OTC_RWNEF, otc_rwnef
25,What is the lowest energy consumption over the last 3 years among the following companies in MWh?,669864.45, 252.27
26,What is the average amount of hazardous waste obtained by summing the values related to the years 2023 and 2022 among the following companies in kt?,24.63, 33.36
27,What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in TCO2eq?,"1900000.0, 21490.0"," 11228.00, 10291.00"
28,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,104.48, 1.40
29,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,2.33, 2.33
30,What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,5.6, 5.60
31,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,OTC_DPSGY, otc_dpsgy
32,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,19.65, 19.63
33,What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,2.16, 2.17
34,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2-eq?,38378.5, 38378.50
35,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2eq?,3086777.0, 3086777.00
36,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,13.16, 15.76
37,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,7.9, 7.35
38,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in kt?,714.8, 714.80
39,What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in Tonnes of CO2 equivalent?,"43790000.0, 72100.95"," 72,477.10, 71,724.80"
40,What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in million mt CO2e?,"43.79, 0.04"," 31774.00, 30953.00"
41,Which companies have the top 2 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of cu.m?,"OTC_ESOCF, OTC_CRERF"," otc_esocf, otc_crerf"
42,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in Tonnes CO2 equivalents?,"OTC_RWNEF, NASDAQ_DASTY"," otc_bayzf, nasdaq_dasty"
43,What are the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"33175.0, 282307.0"," 33.18, 12747.00"
44,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,6.41, 1.63
