"Trench Austria GmbH;Austria
Siemens Energy Bangladesh Ltd.;Bangladesh
Siemens Energy S.A./N.V.;Belgium
Siemens Energy Brasil Ltda.;Brazil
Siemens Energy EOOD;Bulgaria
Siemens Energy Canada Ltd.;Canada
Trench Ltd.;Canada
Siemens Energy Spa;Chile
Siemens Energy Co., Ltd.;China
Siemens Energy High Voltage Circuit Breaker Co., Ltd. Hangzhou;China
Siemens Energy Surge Arresters Ltd.;China
Siemens Energy Transformer (Guangzhou) Co., Ltd.;China
Siemens High Voltage Switchgear Co., Ltd., Shanghai;China
Trench High Voltage Products Ltd., Shenyang;China
Siemens Energy S.A.S.;Colombia
Siemens Energy SARL;Cote d'Ivoire
Koncar-Energetski Transformatori d.o.o.;Croatia
Siemens Energy d.o.o.;Croatia
Siemens Energy, S.r.o.;Czech Republic
Siemens Energy S.A.E.;Egypt
Dresser-Rand SAS;France
Siemens Energy S.A.S.;France
Trench France SAS;France
HSP Hochspannungsgeraete GmbH;Germany
Siemens Energy Compressors GmbH;Germany
Siemens Energy Global GmbH &amp; Co. KG;Germany
Trench Germany GmbH;Germany
Siemens Energy Ltd.;Hong Kong
Siemens Energy Kft.;Hungary
Pune IT City Metro Rail Ltd.;India
Siemens Energy Industrial Turbomachinery India Pvt. Ltd.;India
Siemens Gamesa Renewable Energy Engineering Centre Pvt. Ltd.;India
Siemens Gamesa Renewable Power Pvt. Ltd.;India"
