"Changes in shareholding with change of control;Shareholding in % 31 Dec 2023;Shareholding in % 31 Dec 2022;Change
TEP Portfolio Financing Three, LLC, Wilmington /USA;100;-;100
TEP Pyron Willowbrook Class B, LLC, Wilmington / USA;100;-;100
TEP Standard Class B, LLC, Wilmington/USA;100;-;100
Texas Waves, LLC, Wilmington /USA;100;-;100
Timberland Solar 3, LLC, Wilmington/USA;100;-;100
TLS-CES Services I, LLC, Wilmington / USA;100;-;100
TLS-CES Services II, LLC, Wilmington/USA;100;-;100
TLS-CES Services III, LLC, Wilmington / USA;100;-;100
Valley View Transmission, LLC, Roseville / USA;99;-;99
Valley View Wind Investors, LLC, Wilmington / USA;100;-;100
Vato Solar LLC, Wilmington / USA;100;-;100
Ventasso Energy Storage, LLC, Wilmington /USA;100;-;100
Virginia 1 Equity Holdings, LLC, Wilmington / USA;100;-;100
Virginia 1 Portfolio Holdings, LLC, Wilmington /USA;100;-;100
Wareham MA 3, LLC, Wilmington/USA;100;-;100
Warren MA 1, LLC, Wilmington/USA;100;-;100
Water Strider Solar, LLC, Richmond/USA;100;-;100
Watlington BESS, LLC, Wilmington/USA;100;-;100
Watlington Solar, LLC, Wilmington /USA;100;-;100
WE 90 Technology Solar LLC, Wilmington /USA;100;-;100
West Greenwich Solar, LLC, Wilmington/USA;100;-;100
Windwalkers, LLC, Des Moines /USA;100;-;100
Woodstock Hills LLC, Wilmington /USA;100;-;100
Wythe County Solar Project, LLC, Wilmington /USA;100;-;100"
