"Economic activities;Amount and proportion;the;information is to be presented in monetary;amounts and as;percentages
;€ million;%;€ million;%;€ million;%
Amount and proportion of taxonomy-eligible but not taxonomy-aligned activity referred to in Section 4.26 of Annexes | and II to Delegated Regulation 2021/2139 in the denominator of the revenue KPI;-;-;-;-;-;-
Amount and proportion of taxonomy-eligible but not taxonomy-aligned activity referred to in Section 4.27 of Annexes | and II to Delegated Regulation 2021/2139 in the denominator of the revenue KPI;-;-;-;-;-;-
Amount and proportion of taxonomy-eligible but not taxonomy-aligned activity referred to in Section 4.28 of Annexes | and II to Delegated Regulation 2021/2139 in the denominator of the revenue KPI;-;-;-;-;-;-
Amount and proportion of taxonomy-eligible but not taxonomy-aligned activity referred to in Section 4.29 of Annexes | and II to Delegated Regulation 2021/2139 in the denominator of the revenue KPI;7,884;94;7,884;94;-;-
Amount and proportion of taxonomy-eligible but not taxonomy-aligned activity referred to in Section 4.30 of Annexes | and II to Delegated Regulation 2021/2139 in the denominator of the revenue KPI;126;1;126;1;-;-
Amount and proportion of taxonomy-eligible but not taxonomy-aligned activity referred to in Section 4.31 of Annexes | and II to Delegated Regulation 2021/2139 in the denominator of the revenue KPI;-;-;-;-;-;-
Amount and proportion of other taxonomy-eligible but not taxonomy-aligned economic activities not referred to in rows 1 to 6 above in the denominator of the revenue KPI;400;5;400;5;-;-
Total amount and proportion of taxonomy-eligible but not taxonomy-aligned economic activities in the denominator of the revenue KPI;8,410;100;-;-;-;-"
