Installed capacity based on renewables;Offshore Wind;Offshore Wind;Onshore Wind;Onshore Wind;Solar;Solar;Hydro;Hydro;Biomass;Biomass;Total;Total
As of 31 December, MW;2023;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023;2022
Germany;940;940;750;689;45;19;376;376;1;1;2111;2024
United Kingdom;2527;2529;802;803;0;0;78;78;55;55;3462;3466
Netherlands;0;0;383;383;27;21;11;11;742;742;1163;1157
Poland;0;0;557;497;34;17;0;0;0;0;591;514
France;0;0;150;82;0;0;0;0;150;82;150;82
Spain;0;0;496;488;143;89;0;0;0;0;639;577
Italy;0;0;473;514;0;0;0;0;0;0;473;514
Sweden;48;48;124;116;0;0;0;0;0;0;172;164
USA;0;0;4667;3874;3550;321;0;0;0;0;8217;4195
Australia;0;0;0;0;249;249;0;0;0;0;249;249
Rest of the world;0;0;10;10;134;88;0;0;0;0;144;98
RWE Group;3515;3517;8411;7455;4181;804;465;465;798;798;17370;13039
