"GRI Standard;Disclosure;Location;Omission (Requirement(s) omitted (Req), Reason (Reas), Explanation (E))
Responsible sourcing;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;59, 67-68, 114-116, 139-140, 142-143;
GRI 204: Procurement Practices 2016;204-1 Proportion of spending on local suppliers;67, 114;
GRI 308: Supplier Environmental Assessment 2016;308-2 Negative environmental impacts in the supply chain and actions taken;68, 115-116;
GRI 414: Supplier Social Assessment 2016;414-2 Negative social impacts in the supply chain and actions taken;68, 115-116, 139-140, 142-143;
Responsible water use;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;69, 72-73, 156;
GRI 303: Water and Effluents 2018;303-1 Interactions with water as a shared resource;72-73, 156;
;303-2 Management of water discharge-related impacts;72-73;
;303-3 Water withdrawal;359-360, 369;
;303-4 Water discharge;359-360, 369;
;303-5 Water consumption;359-360, 369;
Sustainable products and solutions;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;52, 56-58, 122-124;"
