"GRI Standard;Disclosure;Location;Omission (Requirement(s) omitted (Req), Reason (Reas), Explanation (E))
Material Topics;;;
GRI 3: Material Topics 2021;3-1 Process to determine material topics;35-36, 113-114;
;3-2 List of material topics;35, 368;
Biodiversity;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;69-71, 120-122;
GRI 304: Biodiversity 2016;304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas;69, 122, 359, 369;Req: Details for each extraction site Reas: Not applicable E: This is not possible due to the large number of extraction sites.
;304-2 Significant impacts of activities, products, and services on biodiversity;70-71, 119-121;
;304-3 Habitats protected or restored;69-70, 120-122;Req: Details of each protected or restored habitat Reas: Not applicable E: This is not possible due to the large number of habitats.
Business excellence;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;79-83;
GRI 201: Economic Performance 2016;201-1 Direct economic value generated and distributed;89-99, 187, 194;
;201-3 Defined benefit plan obligations and other retirement plans;244-247;
;201-4 Financial assistance received from government;189, 198, 233;
Circularity and resource management;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;52-55, 124-126;
GRI 301: Materials 2016;301-1 Materials used by weight or volume;25, 359;Req: Information on materials used by weight or volume Reas: Restrictions due to a non-disclosure obligation E: This information is relevant to competition and is subject to confidentiality.
;301-2 Recycled input materials used;359;
GRI 306: Waste 2020;306-1 Waste generation and significant waste-related impacts;55;
;306-2 Management of significant waste-related impacts;53-55, 84-85, 117, 122, 124-125;"
