"GRI Standard;Disclosure;Location;Omission (Requirement(s) omitted (Req), Reason (Reas), Explanation (E))
Emissions (SOx, NOx, dust, noise);;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;116-120; 
GRI 305: Emissions 2016;305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions;119-120, 358, 369; 
Energy and fuels management;;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;84, 116-120; 
GRI 302: Energy 2016;302-1 Energy consumption within the organization;356-357, 368-369; 
302-3 Energy intensity;357; ; 
302-5 Reductions in energy requirements of products and services;356-357; ; 
Ethical business conduct;;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;139-143, 168-177; 
GRI 205: Anti-corruption 2016;205-1 Operations assessed for risks related to corruption;139-143; 
205-2 Communication and training about anti-corruption policies and procedures;143, 363, 370;Req: Information on trained employees is not broken down by region and employee category Reas: Information not available/incomplete E: We do not consider a further breakdown to be relevant.
205-3 Confirmed incidents of corruption and actions taken;143, 363, 370; ; 
GRI 206: Anti-competitive Behavior 2016;206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices;139-140, 160, 248; 
Human capital;;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;60-63, 134-136; 
GRI 401: Employment 2016;401-1 New employee hires and employee turnover;134, 361;Req: Information on new employee hires and employee turnover by gender and age group Reas: Information not available/incomplete E: We are currently rolling out a global system as the basis for future data collection and reporting, and plan to start reporting the data most likely from financial year 2024.
GRI 402: Labor/Management Relations;402-1 Minimum notice periods regarding operational changes;62, 134;"
