"€m;31 December 2022;31 December 2022;31 December 2022;31 December 2023;31 December 2023;31 December 2023
;Level 1;Level 2;Level 3;Level 1;Level 2;Level 3
ee Assets;;;;;;
Financial investments;13.3;;22.5;25.5;;22.1
Trade receivables and other receivables;;316.6;;379.6;;
Cash and cash equivalents;41.7;;;77.6;;;
Derivatives - hedge accounting;;14.5;38.1;;0.6;8.6
Derivatives - held for trading;;71.0;;;37.6;;
Liabilities;;;;;;
Derivatives - hedge accounting;;106.7;45.4;;74.3;45.9
Derivatives - held for trading;;84.2;;;74.8;;"
