index,question,value,response,correct
0,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,otc_dpsgy,otc_dpsgy,True
1,Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,otc_bayzf,otc_bayzf,True
2,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,714800.0,"10007.00, 1276.70",False
3,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,otc_su,otc_su,True
4,What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in tons?,"3751.0, 15664.0","24.00, 18.00",False
5,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,509500.0,"124139.00, 10007.00",False
6,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in GWh?,"prosiebensat1-media, munich-re, otc_su","33.09, 250.92, 1124.33",False
7,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"munich-re, otc_su, deutsche-telekom-ag","gri, munich-re, deutsche-telekom-ag",False
8,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"nyse_az, otc_bayzf","otc_bayzf, otc_rwnef",False
9,Which company has the smallest percentage variation in water consumption from 2022 to 2023 among the following companies?,otc_bamgf,"otc_bamgf, otc_esocf, munich-re",False
10,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,66.59,12.30,False
11,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,vivendi,heidelberg-materials,False
12,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"31363.5, 1900000.0","1.89, 61.90",False
