"Net sales;280;471
Cost of sales;(46);(12)
Gross profit;234;460
General administrative expenses;(326);(304)
Other operating income;157;146
Other operating expense;(430);(211)
Income from investments;2,862;(1,466)
Net interest;3;(58)
Write-downs of financial assets and securities classed as operating assets;(312);(331)
Income taxes;(85);(18)
Earnings after taxes/net income/loss;2,103;(1,783)
Net income/loss;2,103;(1,783)
Loss / profit carried forward;(940);488
Withdrawal from other revenue reserves;0;1,390
Transfer to other revenue reserves;581;0
Unappropriated profit;581;95"
