"Dr. Andreas Wiele (since February 2022);398.6;282.4;41.2%;;;;;
Prof. Dr. Rolf Nonnenmacher (since May 2015);242.7;201.5;20.4%;195.5;3.1%;203.5;-3.9%
Katharina Behrends (since June 2023);68.0;68.0;;;;;
Klara Brachtlova (since October 2023);358;358;;;;;
Dr. Katrin Burkhardt (since June 2023);818;818;;;;;
Thomas Ingelfinger (since June 2023);643;643;;;;;
Marjorie Kaplan (since May 2018);1475;145.5;1.4%;1315;10.6%;133.5;-1.5%
Ketan Mehta (since November 2015);1475;147.5;0.0%;133.5;10.5%;135.5;-1.5%
Prof. Dr. Cai-Nicolas Ziegler (since June 2023);68.0;68.0;;;;;
Dr. Marion Helmes (until June 2023);1203;226.2;-46.8%;233.0;-2.9%;241.0;-3.3%
Lawrence A. Aidem (until June 2023);83.5;155.0;-46.1%;143.0;8.4%;145.1;-1.4%
Erik Huggers (until June 2023);70.0;130.0;-46.2%;124.0;4.8%;126.0;-1.6%
Dr. Antonella Mei-Pochtler (until June 2023);93.5;155.0;-39.7%;145.0;6.9%;100.0;45.0%"
