"Advertising revenues;Entertainment;Commerce &amp; Ventures;Dating &amp; Video;Total Group
2023;2,116;107;0;2,224
2022;2,253;142;0;2,396
DACH;1,853;107;0;1,960
2022;1,964;142;0;2,106
Rest of the world;264;0;0;264
2022;289;0;0;289
Distribution;186;0;0;186
2022;184;0;0;184
Content;158;0;0;158
2022;355;0;0;355
Europe;148;0;0;148
2022;202;0;0;202
Rest of the world;10;0;0;10
2022;153;0;0;153
Digital Platform &amp; Commerce;0;734;0;734
2022;0;611;0;611
Consumer Advice;0;261;0;261
2022;0;173;0;173
Experiences;0;68;0;68
2022;0;89;0;89
Beauty &amp; Lifestyle;0;404;0;404
2022;0;349;0;349
Dating &amp; Video;0;0;434;434
2022;0;0;518;518
Video;0;0;188;188
2022;0;0;244;244
Other revenues;114;3;0;117
2022;95;4;0;99
Total;2,574;844;434;3,852
2022;2,888;757;518;4,163"
