"; ; ; ; eligible; not eligible; eligible; not eligible; eligible; not eligible
Transport by motorbikes, passenger cars and light commercial vehicles; CCM 6.5.; 3; 0.3; eligible; not eligible; not eligible; not eligible; not eligible; not eligible
Construction of new buildings; CCM 7.1/ CE3.1.; 59; 5.4; eligible; not eligible; not eligible; eligible; not eligible; not eligible
Renovation of existing buildings; CCM 7.2/ CE 3.2.; 1; 0.1; eligible; not eligible; not eligible; eligible; not eligible; not eligible
Installation, maintenance and repair of energy efficiency equipment; CCM 7.3.; 1; 0.0; eligible; not eligible; not eligible; not eligible; not eligible; not eligible
Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings); CCM 7.4.; 0; 0.0; eligible; not eligible; not eligible; not eligible; not eligible; not eligible
Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings; CCM 7.5.; 0; 0.0; eligible; not eligible; not eligible; not eligible; not eligible; not eligible
Acquisition and ownership of buildings; CCM 7.7.; 23; 2.1; eligible; not eligible; not eligible; not eligible; not eligible; not eligible
Data processing, hosting and related activities; CCM 8.1.; 8; 0.7; eligible; not eligible; not eligible; not eligible; not eligible; not eligible
Total (A.1 + A.2); ; 95; 8.6; ; ; ; ; ; 
CapEx of Taxonomy-non-eligible activities (B); ; 1,001; 91.4; ; ; ; ; ;"
