";current;non-current;Total 12/31/2022
Loans and borrowings;=;1,194;1,194
Promissory notes;_;923;923
Total financial debt;-;2,117;2,117
Trade and other payables;909;73;982
Lease liabilities;40;138;178
Real estate liabilities;3;130;133
Put option liabilities;38;11;49
Accrued media authority liabilities;15;=;15
Liabilities from derivatives;15;1;17
Accrued interest;7;=;7
Miscellaneous other financial liabilities;6;6;13
Total other financial liabilities;;124;287;411
Total financial liabilities;1,034;2,477;3,510"
