"onomic activites;Code(s);Absolute CapEx 2023;Proportion of CapEx 2023;Climate change mitigation;Climate change adaptation;Water &amp; marine resources;Circular economy;Pollution;Biodiversity ecosystem:
; ;in EURM;in%;yes; no;yes; no;yes; no;yes; no;yes; no
a. taxonomy -eligible activities; ; ; ; ; ; ; ; ; 
a.1. environmentally sustainable activities (taxonomy -aligned); ; ; ; ; ; ; ; ; 
capex of environmentally sustainable activities (taxonomy -aligned) (a.1); ; ; ; ; ; ; ; ; 
of which enabling; ; ; ; ; ; ; ; ; 
of which transitional; ; ; ; ; ; ; ; ; 
a.2 taxonomy -eligible but not environmentally sustainable activities (not taxonomy -aligned activities); ; ; ; ; ; ; ; ; 
transport by motorbikes, passenger cars and light commercial vehicles;ccm 6.5.;6.5;0.3;eligible;not eligible;not eligible;not eligible;not eligible;not eligible
construction of new buildings;ccm 7.1./ce 3.1.;59;5.4;eligible;not eligible;not eligible;eligible;not eligible;not eligible
renovation of existing buildings;ccm 7.2./ce 3.2.;1;0.1;eligible;not eligible;not eligible;eligible;not eligible;not eligible
installation, maintenance and repair of energy efficiency equipment;ccm 7.3.;1;0.0;eligible;not eligible;not eligible;not eligible;not eligible;not eligible
installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings);ccm 7.4.;0;0.0;eligible;not eligible;not eligible;not eligible;not eligible;not eligible
installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings;ccm 7.5.;0;0.0;eligible;not eligible;not eligible;not eligible;not eligible;not eligible
acquisition and ownership of buildings;ccm 7.7.;23;2.1;eligible;not eligible;not eligible;not eligible;not eligible;not eligible
data processing, hosting and related activities;ccm 8.1.;8;0.7;eligible;not eligible;not eligible;not eligible;not eligible;not eligible
capex of taxonomy -eligible but not environmentally sustainable activities (not taxonomy -aligned activities) (a.2); ;95;8.6; ; ; ; ; ; 
total (a.1 + a.2); ;95;8.6; ; ; ; ; ; 
b. taxonomy -non-eligible activities; ; ; ; ; ; ; ; ; 
capex of taxonomy -non-eligible activities (b); ;1,001;91.4; ; ; ; ; ; 
total (a + b); ;1,095;100.0; ; ; ; ; ;"
