index,question,value,response,correct
0,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,16966056.2, 776045.20,False
1,What is the average of total water consumption in the years 2023 and 2022 among the following companies in m3?,12523903.2, 2240006.40,False
2,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,293979.8, 31641.80,False
3,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,261063.8, 35885.80,False
4,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,351.04, 2828.15 twh,False
5,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1160219.6, 34943.60,False
6,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.28, 2180000.00,False
7,What is the average energy consumption from 2023 to 2022 among the following companies?,307238.44, 58.29,False
8,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,9313.49, 26438.00,False
9,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1283792.2, 44330.20,False
10,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.28, 11.15,False
11,What is the average energy consumption from 2023 to 2022 among the following companies?,379059.3, 306372.67 mwh,False
12,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,16400239.6, 776685.60,False
13,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.28, 0.28,True
14,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,606619.71, 95507.61 million kwh.,False
15,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.66, 157696.48,False
