"; ; ; ; ; Contracts; 
; ; ; ; measured under; the full; 
; ; ; Contracts; retrospective; transition to IFRS 17; Te
EUR million; of future cashflows; for non- financial risk; retrospective approach; _ the fair value approach; 
2023; ; ; ; ; ; 
Carrying amount of assets as at the start of the reporting period; —; —; —; —; —; — 
Carrying amount of liabilities as at the start of the reporting period; 301; 7; 9; —; 42; 359 
Net opening balance; 301; 7; 9; —; 42; 359 
IAS 8 adjustments; —; —; —; —; —; — 
Changes in the basis of consolidation; —; —; —; —; —; — 
Disposal groups in accordance with IFRS 5; —; —; —; —; —; — 
Other changes; —; —; —; —; —; —"
