"EUR million 31.12.2023;Gross;Re;Net?
Germany;19,685;6,436;13,249
United Kingdom;4,266;864;3,403
Central and Eastern Europe (CEE), including Tlirkiye;3,471;322;3,149
Rest of Europe;7,099;1,585;5,515
USA;15,237;1,357;13,880
Rest of North America;2,028;1,795;233
Latin America;2,391;386;2,005
Asia and Australia;6,260;549;5,711
Africa;393;65;328
Total;60,831;13,358;47,473
31.12.2022; ; ; 
Germany;18,041;5,698;12,343
United Kingdom;4,510;838;3,673
Central and Eastern Europe (CEE), including Tlirkiye;2,862;297;2,565
Rest of Europe;6,104;1,852;4,252
USA;13,030;1,326;11,704
Rest of North America;1,833;2,129;–296
Latin America;2,217;378;1,839
Asia and Australia;6,247;511;5,735
Africa;302;71;230
Total;55,144;13,099;42,045"
