"; ; ; Contractual service margin; ; ; Tot:
; ; ; ; Contracts; ; ;
; ; ; ; measured under; ; 
; ; ; ; the full; ; 
EUR million; of future cashflows; for non- financial risk; retrospective approach; _ the fair value approach; transition to IFRS 17; 
; ; ; ; ; ; 
2023; ; ; ; ; ; 
Carrying amount of assets at the start of the reporting period; 2,101; 33; -4; 3; 36; 2,169
Carrying amount of liabilities at the start of the reporting period; -227; 7; —; —; -1; -221
Net opening balance; 1,874; 40; -4; 3; 35; 1,948
colspan=""7""; IAS 8 adjustments
colspan=""7""; Changes in the basis of consolidation
colspan=""7""; Disposal groups in accordance with IFRS 5
Other changes; ; ; ; ; ;"
