"EUR million;2023;2022
Updated equity as at 01.01.;449;794
Capital increase;233;_
Capital reduction;_;_
Net income;34;358
Other comprehensive income;_;_
Changes in ownership interest without a change in control;-9;_
Changes in the basis of consolidation;_;45
Dividends paid;50;32
Updated equity as at 31.12.;4128;4121
of which attributable to non-controlling interests;324;319
Group interest in capital;14.2%;23.0%
Group interest in equity;82;91
Goodwill;_;_
Carrying amount of the Group's share;82;91"
