"EUR million;Industrial; ;Lines;Retail Germany — Property/Casualty; ;Retail Germany - Life; 
;31.12.2023; ;31.12.2022;31.12.2023;31.12.2022;31.12.2023;31.12.2022; 
Expected recognition within 1 year;_;_;—;39;23;217;193; 
More than 1 year but less than 2 years;_;_;—;19;12;197;130; 
More than 2 years but less than 3 years;_;_;—;10;6;166;116; 
More than 3 years but less than 4 years;_;_;—;5;4;141;100; 
More than 4 years but less than 5 years;_;_;—;3;2;121;88; 
More than 5 years but less than 10 years;_;_;—;4;3;458;343; 
More than 10 years;_;_;—;3;3;1,643;2,221; 
Time value of money;_;_;—;–5;–2;–22;–104; 
Total;_;_;—;78;51;2,921;3,087;"
