"Total changes that relate to past services;;;;
Insurance service result;83;-1;1;24;-59
Insurance finance income and expenses from insurance contracts issued;9;=;2;11
Effect of movements in exchange rates;=;=;—;=
Other changes;=;=;—;=
Total changes in the statement of income and other comprehensive income;-74;-1;1;26;-48
Cash flows;;;;
Premiums received;146;-;--;--;146
Claims and other insurance service expenses paid, including investment components;-58;-;--;--;58
Insurance acquisition cash flows;-19;=;—;=;19
Other cash flows;-;-;-;-;-
Total cash flows;69;-;--;--;69
Net closing balance;297;6;9;69;381
Carrying amount of assets as at the end of the reporting period;—;=;—;—;—
Carrying amount of liabilities as at the end of the reporting period;297;6;9;69;381"
