"; ; ; Contracts measured under the modified retrospective approach; ; Contracts; 
; ; ; ; measured under; ; 
; ; ; ; the full; ; 
; ; ; ; retrospective; ; 
; Estimates of; ; ; Contracts; approach and; ; 
; present value; Risk adjustment; measured under; contracts after; ; 
EUR million; of future cashflows; for non- financial risk; _ the fair value approach; transition to IFRS 17; Te
2023; ; ; ; ; ; 
Carrying amount of assets at the start of the reporting period; 315; 2; 151; _; 205; 43
Carrying amount of liabilities at the start of the reporting period; 107; 1; 88; _; =; -17
Net opening balance; 422; 3; 239; -; 205; 26
colspan=""7""; IAS 8 adjustments; 
colspan=""7""; Changes in the basis of consolidation; 
Disposal groups in accordance with IFRS 5; ; ; ; ; ; 
Other changes; ; ; ; ; ;"
