"The weighted average value of all the investments of insurance or reinsurance undertakings that are directed at funding, or are associated with Taxonomy-aligned economic activities relative to the value of total assets covered by the KPI, with following weights for investments in undertakings per below;;The weighted average value of all the investments of insurance or reinsurance undertakings that are directed at funding, or are associated with, Taxonomy-aligned economic activities with following weights for investments in undertakings per below:
Turnover-based;0.86;Turnover-based;845,973,740
Capital expenditures-based;1.45;Capital expenditures-based;1,432,766,960
The percentage of assets covered by the KPI relative to total investments of insurance or reinsurance undertakings (total AuM). Excluding investments in sovereign entities.;;The monetary value of assets covered by the KPI. Excluding investments in sovereign entities.;
Coverage ratio;100.00;Coverage;98,880,731,895
Additional, complementary disclosures: breakdown of denominator of the KP!;;;
The percentage of derivatives relative to total assets covered by the KPI;0.42;The value in monetary amounts of derivatives.;414,772,894
The proportion of exposures to financial and non-financial undertakings not subject to Articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI:;;Value of exposures to financial and non-financial undertakings not subject to Articles 19a and 29a of Directive 2013/34/EU;
For non-financial undertakings;32.79;For non-financial undertakings;32,420,173,323
For financial undertakings;36.07;For financial undertakings;35,670,400,823
The proportion of exposures to financial and non-financial undertakings from non-EU countries not subject to Articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI:;;Value of exposures to financial and non-financial under- takings from non-EU countries not subject to Articles 19a and 29a of Directive 2013/34/EU:;
For non-financial undertakings;28.77;For non-financial undertakings;28,448,072,266
For financial undertakings;20.72;For financial undertakings;20,487,028,026
The proportion of exposures to financial and non-financial undertakings subject to Articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI:;;Value of exposures to financial and non-financial undertak- ings subject to Articles 19a and 29a of Directive 2013/34/EU:;
For non-financial undertakings;5.62;For non-financial undertakings;5,555,644,537
For financial undertakings;15.48;For financial undertakings;15,310,269,468
The proportion of exposures to other counterparties over total assets covered by the KPI: 9.62;Value of exposures to other counterparties: 9,509,470,850;;
The proportion of the insurance or reinsurance undertaking’s investments other than investments held in respect of life insurance contracts where the investment risk is borne by the policy holders, that are directed at funding, or are associated with, Taxonomy-aligned economic activities;87.38;Value of insurance or reinsurance undertaking’s investments other than investments held in respect of life insurance contracts where the investment risk is borne by the policy holders, that are directed at funding, or are associated with, Taxonomy-aligned economic activities;86,402,684,924
The value of all the investments that are funding economic activities that are not Taxonomy-eligible relative to the value of total assets covered by the KPI:;;Value of all the investments that are funding economic activities that are not Taxonomy-eligible:;
Turnover-based;17.13;Turnover-based;16,933,778,785
Capital expenditures-based;19.39;Capital expenditures-based;19,168,683,270
The value of all the investments that are funding Taxonomy- eligible economic activities, but not Taxonomy-aligned relative to the value of total assets covered by the KPI;;Value of all the investments that are funding Taxonomy- eligible economic activities, but not Taxonomy-aligned:;
Turnover-based;12.74;Turnover-based;12,595,632,331
Capital expenditures-based;9.88;Capital expenditures-based;9,773,934,625"
