index,question,value,response
0,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in million mt CO2e?,4.13,Response too long
1,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1065890.2,Response too long
2,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,20.67,6.76534e+06
3,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,606619.71,Response too long
4,What is the average energy consumption from 2023 to 2022 among the following companies?,379059.3,Response too long
5,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,13.92,180000.25
6,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.66,Response too long
7,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2025651.6,21395
8,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.28,Response too long
9,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,14837.29,Response too long
10,What is the average of total water consumption in the years 2023 and 2022 among the following companies in millions of m3?,12.52,"45.2#35.4 |

The average of 35.4#45.2 is 40.3 |

"
11,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,1.26,Response too long
12,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.28,142424.67
13,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,16966056.2,Response too long
14,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,276785.4,Response too long
15,What is the total amount of waste generated from 2022 to 2023 among the following companies?,280642.6,Response too long
16,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,1285991.0,Response too long
17,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,351.04,Response too long
18,What is the average energy consumption from 2023 to 2022 among the following companies?,139583.04,Response too long
19,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1283792.2,Response too long
20,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2025890.6,Response too long
21,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,941063.8,Response too long
22,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,1383927.0,Response too long
23,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1161478.0,Response too long
24,What is the average energy consumption from 2023 to 2022 among the following companies?,302832.93,Response too long
25,What is the average energy consumption from 2023 to 2022 among the following companies?,307238.44,Response too long
26,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.28,No answer in the response
27,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,14.5,Response too long
28,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,1.38,Response too long
29,What is the total energy consumption generated by the following companies in the last 2 years in TJ?,1941826.18,Response too long
30,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,293979.8,Response too long
31,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2-eq?,1469899.0,Response too long
32,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,9313.49,Response too long
33,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.1,Response too long
34,What is the total energy consumption generated by the following companies in the last 2 years in GWh?,418761.6,Response too long
35,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.29,Response too long
36,What is the average energy consumption from 2023 to 2022 among the following companies?,24941.64,33.17
37,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,16400239.6,102.1
38,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,418673.96,"33.26#33.09 | step | output |
| 1 | Arithmetic |
| 2 | 33.09#33.26 |
| 3 | 33.09 + 33.26 |
| 4 | 66.35 |
| 5 | million kWh |

### "
39,What is the average of total water consumption in the years 2023 and 2022 among the following companies in m3?,12523903.2,"45.2#35.4 |

The average of 35.4#45.2 is 40.3 |

"
40,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tons CO2e?,16987870.4,Response too long
41,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2005514.6,No answer in the response
42,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,1.13,Response too long
43,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,4126790.0,Response too long
44,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,1.47,Response too long
45,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,261063.8,Response too long
46,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,13.28,Response too long
47,What is the total amount of waste generated from 2022 to 2023 among the following companies?,1771368.6,2229.8
48,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1160219.6,Response too long
49,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,6910384.8,158957.25
