index,question,value,response
0,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,OTC_DPSGY, otc_dpsgy
1,Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,OTC_BAYZF, otc_bayzf
2,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,714800.0, 714800.00
3,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,OTC_SU, otc_su
4,What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in tons?,"3751.0, 15664.0"," 8.00, 44.00"
5,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,509500.0, 509500.00
6,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in GWh?,"prosiebensat1-media, munich-re, OTC_SU"," prosiebensat1-media, munich-re, otc_su"
7,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"munich-re, OTC_SU, deutsche-telekom-ag"," munich re, gri, deutsche telekom ag"
8,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"NYSE_AZ, OTC_BAYZF"," otc_bayzf, otc_rwnef"
9,Which company has the smallest percentage variation in water consumption from 2022 to 2023 among the following companies?,OTC_BAMGF, otc_bamgf
10,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,66.59, 67.03
11,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,vivendi, heidelberg materials
12,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"31363.5, 1900000.0"," 1.89, 1.91"
13,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,348.65, 502.47 twh
14,Which company has the highest percentage of hazardous waste generated in 2022 among the following companies?,NYSE_TTE, nyse_tte
15,Which companies have the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in TCO2eq?,"munich-re, axa, vivendi"," munich re, axa, vivendi"
16,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,deutsche-telekom-ag, otc_dpsgy
