index,question,value,response
0,Which companies have the 4 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"OTC_RWNEF, OTC_BAYZF, munich-re, OTC_ADDDF",OTC_ADDDF#OTC_BAYZF#OTC_RWNEF#munich-re
1,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,326.11,Response too long
2,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,OTC_RWNEF,Response too long
3,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in MtCO2eq?,"43.79, 0.04, 0.03",Response too long
4,What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"73650000.0, 43790000.0",Response too long
5,What are the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"76992.0, 282307.0, 34774500.0, 94006047.43, 161500000.0",Response too long
6,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,1900000.0,Response too long
7,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in millions of cu.m?,40.3,4.92448e+06#4.84016e+06
8,What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,20.34,Response too long
9,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in TCO2eq?,"10759.5, 21490.0",Response too long
10,Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,NYSE_AZ,Response too long
11,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,deutsche-telekom-ag,Response too long
12,Which companies have the top 4 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,"NYSE_TTE, heidelberg-materials, OTC_DPSGY, OTC_SU",Response too long
