index,question,value,response
0,Which companies have the 4 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"OTC_RWNEF, OTC_BAYZF, munich-re, OTC_ADDDF"," otc_rwnef, munich-re, otc_adddf, vivendi"
1,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,326.11, 3.43 twh
2,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,OTC_RWNEF, otc_rwnef
3,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in MtCO2eq?,"43.79, 0.04, 0.03"," 43664.00, 33093.00, 31774.00"
4,What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"73650000.0, 43790000.0"," 85400, 61900"
5,What are the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"76992.0, 282307.0, 34774500.0, 94006047.43, 161500000.0"," 35056.00, 76992.00, 121800.00, 161500.00, 282307.00"
6,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,1900000.0, 38378.50
7,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in millions of cu.m?,40.3, 40.30
8,What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,20.34, -20.34%
9,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in TCO2eq?,"10759.5, 21490.0"," 1.89, 1.91"
10,Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,NYSE_AZ, otc_bayzf
11,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,deutsche-telekom-ag, otc_dpsgy
12,Which companies have the top 4 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,"NYSE_TTE, heidelberg-materials, OTC_DPSGY, OTC_SU"," heidelberg-materials, otc_dpsgy, nyse_tte, otc_su"
13,Which company has the lowest total energy consumption over the last 2 years among the following companies in MWh?,NASDAQ_DASTY, otc_dpsgy
14,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,395593201.0, 3076750.00 mwh
15,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,OTC_SU, otc_su
16,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,OTC_SU, heidelberg-materials
17,What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,2.34, -0.88%
18,What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,5.6, 5.60
19,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in kt?,OTC_BAMGF, otc_bamgf
20,What are the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"76992.0, 282307.0"," 282307.00, 1162801.50"
21,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,7.61, 7.51
22,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"munich-re, OTC_SU, deutsche-telekom-ag"," deutsche-telekom-ag, nyse_tte, munich-re"
23,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,76.57, 76.13
24,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,80.19, 81.50
25,Which companies have the top 3 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,"OTC_ESOCF, OTC_CRERF, OTC_BAYZF"," otc_bamgf, munich-re, otc_esocf"
26,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,32.84, 32.85
27,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in Million metric tons of CO2 equivalents?,OTC_ESOCF, nasdaq_dasty
28,What is the largest percentage of energy consumption from renewable sources in 2023 among the following companies?,84.0, 84.00
29,Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"NASDAQ_DASTY, munich-re"," nasdaq_dasty, munich-re"
30,What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,9.4, -8.84
31,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,420.52, 2897.63 twh
32,Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,OTC_BAYZF, munich-re
33,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,7.64, 4.66
34,Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TJ?,"heidelberg-materials, OTC_SU"," otc_su, heidelberg-materials"
35,Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tons CO2e?,NASDAQ_DASTY, vivendi
36,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,66.59, 66.58
37,What are the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"33175.0, 76992.0, 1162801.5, 94006047.43, 161500000.0"," 33175.00, 76992.00, 93975.83, 161500.00, 1162801.50"
38,Which company has the highest average energy consumed in the last 2 years among the following companies in million kWh?,NYSE_TTE, otc_dpsgy
39,Which companies have the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"NASDAQ_DASTY, munich-re, OTC_DPSGY, heidelberg-materials, NYSE_TTE"," otc_dpsgy, nasdaq_dasty, munich-re"
40,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,71.14, 0.72
41,Which companies have the 3 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"NASDAQ_DASTY, vivendi, munich-re"," otc_bayzf, nasdaq_dasty, vivendi"
42,What are the 3 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"0.0, 0.01, 0.02"," 1.89, 1.91, 4.18"
43,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,537224692.85, 1253257.00 mwh
44,What is the lowest total energy consumption over the last 2 years among the following companies in GWh?,66.35, 66.35
45,Which companies have the 3 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"OTC_ADDDF, NYSE_AZ, munich-re"," otc_esocf, otc_adddf, otc_rwnef"
46,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tonnes?,873133.5, 873133.50
47,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,40300000.0, 40300000.00
48,Which companies have the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in million mt CO2e?,"OTC_RWNEF, OTC_BAYZF, munich-re"," otc_rwnef, munich-re, otc_adddf"
49,What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,540925.0, 3.00
50,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,OTC_BAYZF, vivendi
51,What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tons CO2e?,363404.0, 24512.00
52,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in TCO2eq?,43790000.0, 43790.00
53,What is the highest average energy consumed in the last 2 years among the following companies in GWh?,94006.05, 12747.00
54,Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in millions of cu.m?,OTC_ESOCF, otc_esocf
55,Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in TCO2eq?,OTC_ESOCF, otc_esocf
56,Which companies have the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"prosiebensat1-media, NASDAQ_DASTY, OTC_SU, heidelberg-materials, NYSE_TTE"," prosiebensat1-media, nasdaq_dasty, otc_su"
57,Which companies have the top 2 highest values of average energy consumed in the last 3 years (sorted in descending order) among the following companies in TWh?,"NYSE_TTE, heidelberg-materials"," otc_su, nyse_tte"
58,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in GWh?,"heidelberg-materials, OTC_DPSGY, deutsche-telekom-ag"," otc_su, otc_dpsgy, deutsche-telekom-ag"
59,What is the average percentage of energy consumption from renewable sources in 2022 among the following companies?,43.68, 55.86
60,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,63.37, 64.64
61,What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,6.73, -6.02%
62,What are the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"282307.0, 1162801.5, 12747000.0"," 100149.50, 161500.00, 1162801.50"
63,What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,7.24, -5.79%
64,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,OTC_RWNEF, otc_adddf
65,What are the top 2 highest values of average energy consumed in the last 3 years (sorted in descending order) among the following companies in TWh?,"157.0, 96.3"," 157.00, 33.68"
66,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,12180000.0, 759530.00
67,What is the smallest percentage variation in water consumption from 2022 to 2023 among the following companies?,1.8, -32.79%
68,What is the largest percentage of energy consumption from renewable sources in 2022 among the following companies?,84.0, 84.00%
