";Intangible assets;Book values 31.12.;Additions;Reclassifi- cation;Disposals;Write-ups;Deprecia- tion;Currency effects;—_ Book values 31.12.
3.1. 3.11.;1. Purchased franchises, trademarks, patents, licences and similar rights and assets;38,611;26,647;17,552;-;-;24,309;-155;58,346
;2. Prepayments on intangible assets;21,652;8,649;-17,552;393;-;-;-;12,356
;Total A.;60,263;35,296;-;393;-;24,309;-155;70,702
;Land and buildings, rights land and buildings, leasehold;29,003;20;-;-;-;918;-;28,105
;Investments in affiliated companies and participating interests;;;;
;1. Shares in affiliated companies;7,976,003;860,227;-;10,674;-;-;-30,115;8,795,441
;2. Loans to affiliated companies;867,431;3,301;-;30,808;-;-;-29,100;810,824
;3. Participating interests;1,809,528;16,524;-;210;-;11,382;-2,488;1,811,972
;4. Loans to enterprises in which the company has a participating interest;-;-;-;-;-;-;-;=
;Total B.Il.;10,652,962;880,052;-;41,692;-;11,382;-61,703;11,418,237
;3.111.;Other financial investments 1. Shares, units or shares in investment funds and other;;
;1. variable-yield securities;1,894,021;369,340;-;238,247;2,480;5,106;-20,405;2,002,083
;2. Bearer debt securities and other fixed-income securities;28,374,860;14,361,580;-;13,093,383;589;23,620;-640,253;28,979,773
;3. Other loans;;;;
;a) Registered debt securities;133,961;185;-;9,219;-;-;-;124,927
;b) Debentures and loans;177,305;28,841;-;58,593;-;-;-263;147,290
;c) Other loans;8,135;4,331,850;-;3,967,634;-;-;-26,746;345,605
;4. Deposits with banks;1,143,912;22,652,572;-;22,656,176;-;-;-66,923;1,073,385
;5. Other investments;10,301;-;-;-;-;-;-;10,301
;Total B.III.;31,742,495;41,744,368;-;40,023,252;3,069;28,726;-754,590;32,683,364"
