"Cc. Receivables;;;
|. Accounts receivable arising out operations;reinsurance;5,343,920;5,647,610;
from affiliated companies:;;;;;
TEUR 735,216 (2022: TEUR 731,651);;;; 
Il. Other receivables;;; 
;;584,746;840,655;
from affiliated companies: TEUR 456,637 (2022: TEUR 631,306);5,928,666;6,488,265;;
D. Other assets;;;;
|. Tangible assets and stocks;;20,033;21,617;
Il. Current accounts with banks, hand;and cash in;397,805;627,815;
Ill. Sundry assets;;65,961;68,357;
;;;483,799;717,789;
E. Prepayments and accrued income;;;;
|. Accrued interest and rent;;316,689;277,373;
Il. Other accrued income;;15,990;14,216;
;;;332,679;291,589;
Total assets;;;60,734,692;59,611,436;"
