"A. Capital and reserves; ; ; ; 120,597; ; 120,597
; I. Subscribed; capital; ; 120,597; ; 120,597
; II. Capital; reserve; ; 880,608; ; 880,608
; III. Retained; earnings; ; ; ; 
; 1.; Statutory reserve; 511; ; ; 511
; 2.; Other retained earnings; 630,000; ; ; 630,000
; ; ; ; 630,511; ; 630,511
; IV. Disposable; profit; ; 1,484,000; ; 1,316,000
B.; ; ; ; ; 3,115,716; 2,947,716
; Subordinated; liabilities; ; ; 3,250,000; 3,750,000
C.; Technical; provisions; ; ; ; 
; I. Provision; for unearned premiums; ; ; ; 
; 1.; Gross; 4,366,232; ; ; 4,443,993
; 2.; Less: reinsurance ceded; 1,039,668; ; ; 1,189,329
; ; ; ; 3,326,564; ; 3,254,664
; II. Life assurance provision; ; ; ; 
; 1.; Gross; 7,222,928; ; ; 7,500,127
; 2.; Less: reinsurance ceded; 175,605; ; ; 213,702
; ; ; ; 7,047,323; ; 7,286,425
; III. Provisions for outstanding claims; ; ; ; 
; 1.; Gross; 38,820,800; ; ; 37,310,257
; 2.; Less: reinsurance ceded; 9,364,333; ; ; 9,751,617
; ; ; ; 29,456,467; ; 27,558,640
; IV. Provision; for bonuses and rebates; ; ; ; 
; 1.; Gross; 555; ; ; 505
; 2.; Less: reinsurance ceded; 685; ; ; 478
; ; ; ; -130; ; 27
; V.; Equalisation reserve and similar provisions; ; 4,270,493; ; 4,865,347
; VI. Other; technical provisions; ; ; ; 
; 1.; Gross; 1,160,910; ; ; 901,876
; 2.; Less: reinsurance ceded; 306,645; ; ; 265,328
; ; ; ; 854,265; ; 636,548
; ; ; ; ; 44,954,982; 43,601,651"
