"in EUR thousand;2022
Liabilities from repurchase agreements;250,122
Liabilities to companies in which a participating interest is held;208,963
Liabilities from cash collateral received;86,899
Accounts due to affiliated companies;90,128
Liabilities from interest and LOC;34,544
Liabilities to joint ventures;- 
Liabilities from VAT/GST;13,353
Liabilities from hedge accounting;3,429
Liabilities from securities transactions;37
Liabilities in respect of the revenue authorities;6,199
Trade accounts payable;4,594
Liabilities from outstanding commitments to old-age pension scheme;78
Other liabilities;5,707
Total;704,053"
