"in EUR thousand Insurance line;Gross written premium;Gross premium earned;Net premium earned;Technical result for own account
Fire;5,787,824;5,690,559;3,455,700;85,961
Casualty;3,416,803;3,416,108;2,236,632;92,121
Accident;695,632;760,236;521,583;-42,881
Motor;3,839,581;3,889,461;2,125,804;-159,415
Aviation;303,097;301,402;208,238;79,555
Marine;702,335;702,335;469,324;123,155
Other lines;6,811,986;6,719,508;3,903,537;193,485
Total property and casualty;21,557,258;21,479,609;12,920,818;221,781
Life;5,764,033;5,765,047;4,485,747;36,204
Total insurance business;27,321,291;27,244,656;17,406,565;257,985"
