"in EUR thousand;;2022
Receivables from affiliated companies;456,637;631,306
Receivables from insured pension commitments;75,392;72,636
Receivables from revenue authorities;16,002;27,357
Receivables from collateral provided;11,247;4,827
Receivables from VAT/GST;9,799;8,014
Interest and rent due;6,075;3,092
Trade accounts receivable;3,850;2,985
Deposits;2,729;3,020
Receivables from representative offices;1,102;1,422
Receivables from unallocated payments;741;20,198
Receivables from securities transactions;56;64,230
Other receivables;1,116;1,568
Total;584,746;840,655"
