"igures in currency units of 1,000;;Commercial Code);;financial year
shares in affiliated companies;;;;;
companies resident in Germany;;;;;
hannover rück beteiligung verwaltungs-gmbh, hannover/germany;100.00;EUR;6,008,543;-
holds 64.79% of the shares in: e+s rückversicherung ag, hannover/germany;;EUR;708,257;-15,294
holds 20.00% of the shares in: wehaco unternehmensbeteiligungs-gmbh, hannover/germany;;EUR;100,152;7,733
holds 100.00% of the shares in: hannover re holdings (uk) limited, london/united kingdom;;EUR;4,094,836;290,060
holds 100.00% of the shares in: hannover finance, inc., wilmington/usa;100.00;USD;1,778,587;807
holds 100.00% of the shares in: hannover life reassurance company of america, hamilton/bermuda;100.00;USD;1,495,777;313,465
holds 100.00% of the shares in: hannover life reassurance company of america, orlando/usa;100.00;USD;621,707;-80,110
holds 100.00% of the shares in: glencar insurance company, orlando/usa;;USD;60,931;-2,433
holds 100.00% of the shares in: glencar underwriting managers, inc., chicago/usa;;USD;4,085;-143
holds 100.00% of the shares in: kubera insurance (sac) ltd., hamilton/bermuda;;USD;6,024;854
holds 100.00% of the shares in: hannover re (bermuda) ltd., hamilton/bermuda;;USD;2,203,708;856,401
holds 100.00% of the shares in: hannover re (ireland) designated activity company, dublin/ireland;;USD;1,407,714;330,919
holds 100.00% of the shares in: hannover life re of australasia ltd., sydney/australia;;AUD;547,233;-40,325
holds 95.00% of the shares in: hannover retakaful b.s.c. (c), manama/bahrain;;BHD;88,571;10,088"
