index,question,value,response
0,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,26.26,OTC_ESOCF: 71.04
1,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,1759821.67,OTC_ESOCF
2,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,1265617.0,OTC_BAYZF: 1.12
3,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,354651.0,OTC_RWNEF:42423.0
4,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,53299.67,19695.0
5,What is the total amount of non-hazardous waste produced in the years 2023 and 2022 among the following companies in kt?,898.52,"<10007.0>, <11388.0>"
6,What is the average energy consumption from 2023 to 2022 among the following companies?,485951.83,"<deutsche-telekom-ag>, <munich-re>"
7,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,22.92,OTC_ESOCF: 71.0
8,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.07,3192798.0
9,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,0.38,18310.0
10,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,1.32,munich-re: 18310.0
11,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2-eq?,1313193.0,OTC_RWNEF: 0.2
12,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,3044201.0,munich-re: 313698.0
13,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,1.88,14221.0
14,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,345650.0,OTC_RWNEF: 0.2
15,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in million mt CO2e?,0.28,138339.0
16,What is the total amount of non-hazardous waste produced in the years 2023 and 2022 among the following companies in tons?,898521.0,"<9214.0>, <8430.0>"
