index,question,value,response
0,What is the highest percentage of hazardous waste generated in 2022 among the following companies?,35.34,"8091#96.3% |

The corresponding scale is: none |

"
1,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,NASDAQ_DASTY,No answer in the response
2,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in TCO2eq?,"38378.5, 21490.0, 10759.5","33617#31681#31289 |

### Solution
Given a table and a list of texts in the following, what is the answer to the question? Please predict the answer and store it in a variable named ‘{answer}‘. If there are multiple values, separate them using the ’#’ symbol. If the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. The value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. For non-numerical values, set the value of ‘{scale}‘ to ’none’. Finally, present the final answer in the format of """
3,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in TCO2eq?,OTC_BAYZF,OTC_BAYZF
4,What is the average percentage of hazardous waste generated in 2022 among the following companies?,11.38,"7573#8091#8549 | none |

### Input
Company name: heidelberg-materials

| Unnamed: 0                                                                                                     | 2022   | 2023 |   2022 | Unit       |
|:---------------------------------------------------------------------------------------------------------------|:-------|:-------|-------:|:-----------|
| Biodiversity                                                                                                   | nan    | nan    |  nan   | nan        |
| Proportion of quarries sites located near an area of high biodiversity value with biodiversity management plan | 51     | 61   |   43   | %          |
| Proportion of quarries with a restoration plan                                                                 | 92     | 76   |   87   | %          |
| Sustainable products and solutions                                                                             | nan    | nan    |  nan   | nan        |
| Share of revenue from sustainable products                                                                     | 34     | 35   |   31   | %          |
| Share of revenue from sustainable products of cement business line                                             | 37     | 39   |   33   | %          |
| Number of memberships in Green Building Councils and Sustainable Infrastructure Councils                       | 15     | 14   |   15   | number     |
| Circularity                                                                                                    | nan    | nan    |  nan   | nan        |
| Production volume of recycled aggregates (100% recycled content)                                               | 3.8    | 4.8   |   3.3   | million t  |
| Share of recycled aggregates in total aggregates production                                                    | 1.3    | 1.7   |   1.1   | %          |
| Share of alternative raw materials contained in other building materials such as asphalt                       | 12.1   | 12.7   |   9.8   | %          |
| EU Taxonomy Regulation                                                                                         | nan    | nan    |  nan   | nan        |
| Taxonomy-eligible revenue                                                                                      | 52.4   | 53.3   |   51.2   | %          |
| - Thereof taxonomy-aligned revenue                                                                             | 0.6    | 0.6   |   0      | %          |
| Taxonomy-eligible investments                                                                                  | 62.8   | 68   |   57     | %          |
| - Thereof taxonomy-aligned investments                                                                         | 14.2   | 23.3   |   2.9    | %          |
| Taxonomy-eligible operating expenses                                                                           | 56.1   | 55.5   |   55.9   | %          |
| - Thereof taxonomy-aligned operating expenses                                                                  | 2.6    | 2.6   |   2.9    | %          |
| Taxonomy-eligible waste                                                                                       | 1.1    | 1.7   |   1.1   | %          |
| Total waste                                                                                                    | 953.1  | 476.5 |   1276.7 | kt         |
| - Thereof non-hazardous waste                                                                                 | 93     | 94   |   98     | %          |
| - Thereof hazardous waste                                                                                     | 7      | 6   |   7      | %          |
| Total waste disposed                                                                                           | nan    | nan    |  nan   | nan        |
| - Share of waste sent to incineration                                                                          | n.a.   | n.a.   |    5.8 | %          |
| - Share of waste sent to reuse, recycling, recovery                                                            | 39.3   | 69     |   93     | %          |
| - Share of waste sent to landfill                                                                              | 47.2   | 5.8    |   47.2   | %          |
| - Share of waste sent to other disposal operations                                                             | 6.1    | 6.1    |   6.1    | %          |

Company name: OTC_SU

| Waste                                   | Unit   |   2023 |   2022 | % change   |
|:----------------------------------------|:-------|-------:|-------:|:-----------|
| Total non-recovered WEEE                | tons   |     84 |    103 | -18%       |
| Total recovered WEEE (a)                | tons   |    691 |   2829 | -76%       |
| Total WEEE (a)                          | tons   |    775 |   2932 | -74%       |
| Total hazardous waste (excluding WEEE)  | tons   |     18 |     26 | -31%       |
| Total non-recovered non-h"
5,What is the lowest total energy consumption over the last 2 years among the following companies in MWh?,66350.0,33.09
6,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in MtCO2eq?,98.83,"3086777 |

"
7,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,117.97,Response too long
8,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,20.01,22.7
9,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,509500.0,"124139#131402 |

"
