"GRI Standards;Disclosure;Location;Requirement(s) Omitted/Reason/ Explanation;Ref No. GRI | industry standards
Emissions (material topic: Climate change, Safe workplace) GRI 3: Material topics - 2021;3-3 Management of material topics “GHG emissions"", pages 145-146 (NFS23);“Methodology and Reporting Criteria"", pages 84-86 (SR23);11.1.1 11.2.1 11.3.1
GRI 305: Emissions 2016;305-1 Direct (Scope 1) GHG emission;“GHG emissions"", pages 145-146 (NFS23);11.1.5
GRI 305: Emissions 2016;305-2 Energy indirect (Scope 2) GHG emissions;“GHG emissions"", pages 145-146 (NFS23);11.1.6
GRI 305: Emissions 2016;305-3 Other indirect (Scope 3) GHG emissions;“GHG emissions"", pages 145-146 (NFS23);11.1.7
GRI 305: Emissions 2016;305-4 GHG emissions intensity;“GHG emissions"", pages 145-146 (NFS23);11.1.8
GRI 305: Emissions 2016;305-5 Reduction of GHG emissions;“GHG emissions"", pages 145-146 (NFS23);11.2.3
GRI 305: Emissions 2016;305-7 Nitrogen oxides (NOx), sulphur oxides (SOx), and other significant air emissions;“Preserving the air quality"", pages 146-147 (NFS23);11.3.2
Waste (material topic: Waste);GRI 3: Material topics - 2021;3-3 Management of material topics “Waste management”, pages 153-154 (NFS23);“Methodology and Reporting Criteria”, pages 84-86 (SR23);11.5.1
GRI 306: Waste 2020;306-1 Waste generation and significant waste-related impacts;“Waste management”, pages 153-154 (NFS23);11.5.2
GRI 306: Waste 2020;306-2 Management of significant waste-related impacts;“Waste management”, pages 153-154 (NFS23);11.5.3
GRI 306: Waste 2020;306-3 Waste generated;“Waste management”, pages 153-154 (NFS23);11.5.4
GRI 306: Waste 2020;306-4 Waste diverted from disposal;“Waste management”, pages 153-154 (NFS23);11.5.5
GRI 306: Waste 2020;306-5 Waste directed to disposal;“Waste management”, pages 153-154 (NFS23);11.5.6
Water discharge and waste (material topic: Accidents and spills);GRI 3: Material topics - 2021;3-3 Management of material topics “Spill prevention and response”, pages 147-148 (NFS23);“Methodology and Reporting Criteria”, pages 84-86 (SR23);11.8.1
GRI 306: Water discharge and waste 2016;306-3 Significant spills;“Spill prevention and response”, pages 147-148 (NFS23);11.8.2
Supplier Environmental Assessment (material topic: Climate change);GRI 3: Material topics - 2021;3-3 Management of material topics “A sustainable supply chain"", pages 159-161 (NFS23);“Methodology and Reporting Criteria”, pages 84-86 (SR23);-
GRI 308: Supplier Environmental Assessment 2016;308-1 New suppliers that were screened using environmental criteria;“A sustainable supply chain"", pages 159-161 (NFS23);-
GRI 308: Supplier Environmental Assessment 2016;308-2 Negative environmental impacts in the supply chain and actions taken;“A sustainable supply chain"", pages 159-161 (NFS23);-"
