"(No.);2023;2022;2021
;Number of cases reported;;
Total, of which:;226;137;158
- founded or partially founded;54;34;49
- unfounded;135;103;109
- open;37;7;7
(No.);2023;2022;2021
;Files on cases of discrimination;;
Total, of which:;11;5;2
- founded or partially founded;2;2;0
- unfounded;6;3;2
- open;3;0;0
;Files regarding violations of the rights of local communities;;
Total, of which:;1;1;0
- founded or partially founded;0;0;0
- unfounded;1;1;0
- open;0;0;0
;Files regarding mobbing and harassment;;
Total, of which:;54;24;35
- founded or partially founded;16;8;14
- unfounded;30;15;21
- open;8;1;0
;Files in relation to other workers’ rights;;
Total, of which:;37;29;22
- founded or partially founded;3;7;3
- unfounded;31;22;19
- open;3;0;0"
