"£ é;2 fm £58 gen;a2 se R65 a3;2 fm $3 as
US Dollar;1.105;1.0813;1.066
British Pound Sterling;0.86905;0.86979;0.8869
Algerian Dinar;148.2657;146.9354;146.504
Angolan Kwanza;920.402;746.207;541.198
Argentine Peso;892.9239;314.1127;188.503
Australian Dollar;1.6263;1.6288;1.569
Brazilian Real;5.3618;5.401;5.638
Canadian Dollar;1.4642;1.4595;1.44
Egyptian Pound;34.1589;33.1581;26.39
Indian Rupee;91.9045;89.3001;88.17
Indonesian Rupiah;17079.71;16479.62;16519.8
Kazakhstan Tenge;502.48;493.57;492
Malaysian Ringgit;5.0775;4.932;4.698
New Ghana Cedi;13.2254;12.6196;10.862
New Romanian Leu;4.9756;4.9467;4.949
Nigerian Naira;974.0907;695.0115;477.922
Norwegian Kroner;11.2405;11.4248;10.5138
Peruvian Nuevo Sol;4.0818;4.0472;4.0455
Qatar Riyal;4.0222;3.9358;3.882
Russian Rouble;98.5958;92.4209;79.007
Saudi Arabian Riyal;4.1438;4.0548;3.999
Singapore Dollar;1.4591;1.4523;1.4"
