; ;2023;2023;2022;2022;2021;2021;
; ; Group; Full; Group; Full; Group; Full; 
; ; Total; consolidated; Total; consolidated; Total; consolidated; 
 Number of spills; ;; ; ; ; ; ;
Total; (No.);27;27;18;18;38;37; 
Spills of chemical substances; (No.);1;1;2;2; -; -; 
Spills of oily substances; (No.);20;20;9;9;27;26; 
Spills of biodegradable substances; (No.);4;4;4;4;8;8; 
Spills of drilling muds; (No.);2;2;3;3;2;2; 
Spills of wastewater; (No.); -; -; -; -;1;1; 
 Volume of spills; ;; ; ; ; ; ;
Total; (m3);10.75;10.75;7.85;7.85;3.1;3.1; 
Spills of chemical substances; (m3);0.002;0.002;0.04;0.04;0;0; 
Spills of oily substances; (m3);9.09;9.09;2.17;2.17;0.33;0.32; 
Spills of biodegradable substances; (m3);0.04;0.04;0.15;0.15;2.2;2.2; 
Spills of drilling muds; (m3);1.6;1.6;5.5;5.5;0.54;0.54; 
Spills of wastewater; (m3); -; -; -; -;0.05;0.05;
