"; ;2023 Group Full; ;Group;2022 Full consolidated;2021 Group Total;Full consolidated
; ;Total;consolidated;Total; ; ; 
Worked Man-hours; ; ; ; ; ; ; 
Total, of which;(million hours);176.0;169.2;237.8;215.9;199.7;173.9
Man-hours employees;(million hours);83.8;78.1;98.4;86.7;90.8;76.4
Man-hours subcontractors;(million hours);92.2;91.1;139.4;129.2;108.9;97.4
Lost Time Injury (LTI); ; ; ; ; ; ; 
Total, of which;(No.);17;16;38;36;37;37
Employees;(No.);10;10;24;23;27;27
Subcontractors;(No.);7;6;14;13;10;10
Of which fatal accidents:; ; ; ; ; ; ; 
Total, of which;(No.);1;1;1;1;-;-
Employees;(No.);-;-;-;-;-;-
Subcontractors;(No.);1;1;1;1;-;-
High-consequence work-related injury; ; ; ; ; ; ; 
Total, of which;(No.);2;2;4;4;4;4
Employees;(No.);2;2;4;4;3;3
Subcontractors;(No.);-;-;-;-;1;1
Of which with disabilities:; ; ; ; ; ; ; 
Total, of which;(No.);1;1;2;2;4;4
Employees;(No.);1;1;2;2;3;3
Subcontractors;(No.);-;-;-;-;1;1
Days lost; ; ; ; ; ; ; 
Total, of which;(No.);991;921;2,405;2,390;3,153;3,153
Employees;(No.);706;706;1,757;1,754;2,486;2,486
Subcontractors;(No.);285;215;648;636;667;667
Severity Rate; ; ; ; ; ; ; 
Total, of which;(ratio);0.006;0.005;0.010;0.011;0.016;0.018
Employees;(ratio);0.008;0.009;0.017;0.020;0.027;0.033
Subcontractors;(ratio);0.003;0.002;0.005;0.005;0.006;0.007
Total Recordable Injury (TRI); ; ; ; ; ; ; 
Total, of which;(No.);57;54;103;98;74;73
Employees;(No.);36;34;53;50;46;46
Subcontractors;(No.);21;20;50;48;28;27
Near miss; ; ; ; ; ; ; 
Total, of which;(No.);214;209;-;-;-;-
Employees;(No.);130;125;-;-;-;-
Subcontractors;(No.);84;84;-;-;-;-
Absenteeism rate of employees;(%) ;3.5;3.6;5.5;5.4;5.6;5.7
Fatal Accident Frequency Rate (FTLFR); ; ; ; ; ; ; 
Total, of which;(ratio);0.57;0.59;0.42;0.46;-;-
Employees;(ratio);-;-;-;-;-;-
Subcontractors;(ratio);1.08;1.1;0.72;0.77;-;-
LTI Frequency Rate (LTIFR); ; ; ; ; ; ; 
Total, of which;(ratio);0.10;0.09;0.16;0.17;0.19;0.21
Employees;(ratio);0.12;0.13;0.24;0.27;0.30;0.35
Subcontractors;(ratio);0.08;0.07;0.10;0.10;0.09;0.10
High-Consequence Work-Related Injuries; ; ; ; ; ; ; 
Frequency Rate (HCWRFR); ; ; ; ; ; ; 
Total, of which;(ratio);0.011;0.012;0.017;0.019;0.020;0.023
Employees;(ratio);0.024;0.026;0.041;0.046;0.033;0.039
Subcontractors;(ratio);-;-;-;-;0.009;0.010
TRI Frequency Rate (TRIFR); ; ; ; ; ; ; 
Total, of which;(ratio);0.32;0.32;0.43;0.45;0.37;0.42
Employees;(ratio);0.43;0.43;0.54;0.58;0.51;0.60
Subcontractors;(ratio);0.23;0.22;0.36;0.37;0.26;0.28"
