"Economic activities;Code;Turnover (ke);Proportion of turnover %
Taxonomy eligible activities;;1,411,016;11.88
Environmentally sustainable activities (Taxonomy-aligned);;777,839;6.55
Electricity generation using solar photovoltaic technology;CCM 4.1;7,644;0.06
Electricity generation from wind power;CCM 4.3;465,496;3.92
Infrastructure for rail transport;CCM 6.14;304,699;2.57
Taxonomy-eligible but not environmentally sustainable activities;;633,177;5.33
Manufacture of other low carbon technologies;CCM 3.6;11,226;0.10
Manufacture of anhydrous ammonia;CCM 3.15;263,412;2.22
Manufacture of biogas and biofuels for use in transport and of bioliquids;CCM 4.13;22,994;0.19
Transmission and distribution networks for renewable and low-carbon gases;CCM 4.14;101,849;0.86
Infrastructure for rail transport;CCM 6.14;34,537;0.29
Demolition of buildings and other structures;CE 3.3;5,251;0.04
Provision of IT/OT (information technology/operational technologies);;17,851;0.15
Preparation for re-use of end-of-life products and product components;CE 5.3;155,551;1.31
Remediation of contaminated sites and areas;PPC 2.4;12,339;0.10
Other;*;8,167;0.07"
