(kt);2023;2023;2022;2022;2021;2021
;Group Total;Full consolidated;Group Total;Full consolidated;Group Total;Full consolidated
Total weight of waste produced, of which:;790.2;709.7;851.7;762.5;811.9;743.5
 - hazardous waste of landfill sites;6.3;6.2;19.2;18.5;10.9;10.4
 - hazardous waste incinerated in external plants;0.8;0.8;0.6;0.6;2;2
 - in plants hazardous waste incinerated in Saipem plants;0.5;0.5;0.7;0.7;0.8;0.8
 - recycled hazardous waste;1.4;1.4;2.6;2.5;15.2;15.1
 - hazardous waste disposed of in other structures;33.9;33.9;97.4;97.4;108.9;108.8
 - non-hazardous waste disposed of in landfill sites;139.8;138.1;220.2;210.3;261.8;252.6
 - non-hazardous waste incinerated in external plants;0.02;0.02;0.05;0.04;0.2;0.1
 - non-hazardous waste incinerated in Saipem plants;1.6;1.6;2.6;2.6;17;17
 - recycled non hazardous waste;52.8;1.2;95.6;92.9;90.6;86.1
 - non-hazardous waste disposed of in other structures;553.2;476;337.1;337.1;319.9;265.8
