"GRI Standards;Disclosure;Location;Requirement(s) Omitted/Reason/ | Explanation;Ref No. GRI industry standards
Energy (material topic: Climate change) GRI 3: Material topics - 2021;3-3 Management of material topics;“GHG emissions”, pages 145-146 (NFS23);“Methodology and Reporting Criteria"", pages 84-86 (SR23);11.1.1
GRI 302: Energy 2016;302-1 Energy consumption within the organisation;“GHG emissions”, pages 145-146 (NFS23); ;11.1.2
;302-2 Energy consumption outside the organisation;“GHG emissions”, pages 145-146 (NFS23). Saipem undertakes to report the data in the next reporting cycles.;11.1.3
;302-3: Energy intensity;“GHG emissions”, pages 145-146 (NFS23).;11.1.4
;302-4: Reduction of energy consumption;“GHG emissions”, pages 145-146 (NFS23).;-
;Water and effluents (material topic: Water); ; ; ;
GRI 3: Material topics - 2021;3-3 Management of material topics;“Water resource management”, pages 149-152 (NFS23);“Methodology and Reporting Criteria”, pages 84-86 (SR23);11.6.1
GRI 303: Water and effluents 2018;303-1 Interactions with water as a shared resource;“Water resource management”, pages 149-152 (NFS23).; ;11.6.2
;303-2 Management of water discharge-related impacts;“Water resource management”, pages 149-152 (NFS23).; ;11.6.3
;303-3: Water withdrawal;“Water resource management”, pages 149-152 (NFS23).;11.6.4
;303-4 Water discharge;“Water resource management”, pages 149-152 (NFS23). Information on the division into drinking water (≤1,000 mg/l of total dissolved solid particles) and other water (&gt;1,000 mg/l of total dissolved solid particles) is not currently available.;11.6.5
;303-5 Water consumption;“Water resource management”, pages 149-152 (NFS23).;11.6.6
Biodiversity (material topic: Biodiversity); ; ; ;
GRI 3: Material topics - 2021 GRI 304: Biodiversity 2016;3-3 Management of material topics;“Environmental management policies and system”, page 147 (NFS23).;11.4.1
;304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas;“Biodiversity”, pages 154-156 (NFS23).;11.4.2
;304-2 Significant impacts of activities, products, and services on biodiversity;“Biodiversity”, pages 154-156 (NFS23).;11.4.3
;304-3 Habitats protected or restored;“Biodiversity”, pages 154-156 (NFS23). Information not available: the company undertakes to collect the information within the next 3 financial years.;11.4.4
;304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations;“Biodiversity”, pages 154-156 (NFS23). Information not available: the company undertakes to collect the information within the next 3 financial years.;11.4.5"
