";The undertaking carries out, funds or has exposures to research, development, demonstration; 
;and deployment of innovative electricity generation facilities that produce energy from nuclear; 
;processes with minimal waste from the fuel cycle. No
2;The undertaking carries out, funds or has exposures to construction and safe operation of new; 
;nuclear installations to produce electricity or process heat, including for the purposes of district; 
;heating or industrial processes such as hydrogen production, as well as their safety upgrades,; 
;using best available technologies. No
3;The undertaking carries out, funds or has exposures to safe operation of existing nuclear; 
;installations that produce electricity or process heat, including for the purposes of district; 
;heating or industrial processes such as hydrogen production from nuclear energy, as well as; 
;their safety upgrades. No
4;The undertaking carries out, funds or has exposures to construction or operation of electricity; 
;generation facilities that produce electricity using fossil gaseous fuels. No
5;The undertaking carries out, funds or has exposures to construction, refurbishment, and; 
;operation of combined heat/cool and power generation facilities using fossil gaseous fuels. No
6;The undertaking carries out, funds or has exposures to construction, refurbishment and; 
;operation of heat generation facilities that produce heat/cool using fossil gaseous fuels. No"
