"; ;ag;ah;ai; ;aj;ak;al;am;an;ao
;Disclosure reference date T-1;;Climate Change Proportion of;Mitigation total covered;(CCM) assets;funding;taxonomy;relevant; ;Climate Change Adaptation (CCA) Proportion of total covered assets funding
;Based on the Turnover KPI;sectors (Taxonomy-eligible) Proportion of total covered assets funding;taxonomy relevant sectors (Taxonomy-eligible) Proportion of total covered assets funding;taxonomy relevant sectors (Taxonomy-aligned) Of which;Of which specialise enabling d lending;Of which;Use of transi- enabling;Proceeds transitional
;GAR - Covered assets in both numerator and denominator;x;x;x;x;x;x;x;x;x
1;Loans and advances, debt securities and equity instruments not HfT eligible for GAR calculation;;;;;;;;
2;Financial undertakings;;;;;;;;
3;Credit institutions;;;;;;;;
4;Loans and advances;;;;;;;;
5;Debt securities, including UoP?;;;;;;;;
6;Equity instruments; ;x; ; ;x; ; ; ; ; 
7;Other financial corporations;;;;;;;;
8;of which investment firms;;;;;;;;
9;Loans and advances;;;;;;;;
10;Debt securities, including UoP?;;;;;;;;
11;Equity instruments; ;x; ; ;x; ; ; ; ; 
12;of which management companies;;;;;;;;
13;Loans and advances;;;;;;;;
14;Debt securities, including UoP?;;;;;;;;
15;Equity instruments; ;x; ; ;x; ; ; ; ; 
16;of which insurance undertakings;;;;;;;;
17;Loans and advances;;;;;;;;
18;Debt securities, including UoP?;;;;;;;;
19;Equity instruments; ;x; ; ;x; ; ; ; ; 
20;Non-financial undertakings;;;;;;;;
21;Loans and advances;;;;;;;;
22;Debt securities, including UoP?;;;;;;;;
23;Equity instruments; ;x; ; ;x; ; ; ; ; 
24;Households;;;;;;;;
25;of which loans collateralised by residential immovable property;;;;;;;;
26;of which building renovation loans;;;;;;;;
27;of which motor vehicle loans; ; ;x;x;x;x
28;Local governments financing;;;;;;;;
29;Housing financing;;;;;;;;
30;Other local government financing;;;;;;;;
31;Collateral obtained by taking possession: residential and commercial immovable properties;;;;;;;;"
