";Based on the Turnover KPI Breakdown by sector - NACE 4 digits level (code and label)” ;Climate Change Mitig ‘ion (CCM) ;Climate Change Adaptation (CCA)
;Non-Financial corporates (Subject to NFRD) ;SMEs and other NFC not subject to NFRD ;Non-Financial corporates (Subject to N FRD) ;SMEs and other NFC not subject to NFRD
[Gross] carrying million € ;amount Of which environ- mentally sustainable ;[Gross] carrying million € ;amount Of which environ- mentally sustainable ;[Gross] carrying million € ;amount Of which environ- mentally sustainable ;[Gross] carrying million € ;amount Of which environ- mentally sustainable
(CCM) (CCM) sustainable (CCA) (CCA) 26.51 Manufacture of instruments and appliances for measuring, testing and navigation ;70 ;1.5 ;0.0 ;x ;x ;x ;x
;71 ;1.2 ;1.2 ;x ;x ;x ;x
;72 ;47.3 ;43.5 ;x ;x ;x ;x
;73 ;4.7 ; ;x ;x ;x ;x
;74 ;0.0 ;0.0 ;x ;x ;x ;x
;75 ; ; ;x ;x ;x ;x
;76 ;4.7 ;0.6 ;x ;x ;x ;x
;77 ;0.3 ;0.3 ;x ;x ;0.0 ;0.0 ;x ;x
;78 ;0.2 ; ;x ;x ;x ;x
;79 ;0.0 ; ;x ;x ;x ;x
;80 ;1.0 ;0.2 ;x ;x ;x ;x
;81 ; ; ;x ;x ;x ;x
;82 ;1.0 ; ;x ;x ;x ;x"
