"csv
Based on the Turnover KPI Breakdown by sector - NACE 4 digits level;Non-Financial corporates (Subject to NFRD);[Gross] carrying million €;amount Of which environmentally sustainable (CCM + CCA +;SMEs and other NFC not subject to NFRD);[Gross] carrying;amount Of which environmentally sustainable (CCM + CCA +
(code and label)”; 20.16 Manufacture of;plastics in primary forms;79.6;;0.0;;0.0;;0.0
20.20 Manufacture of;pesticides and other;agrochemical products;0.5;;0.0;;0.0;;0.0
20.30 Manufacture of;paints, varnishes and;similar coatings, printing;ink and mastics;1.0;;0.0;;0.0;;0.0
20.42 Manufacture of;perfumes and toilet;preparations;0.0;;0.0;;0.0;;0.0
20.59 Manufacture of other;chemical products n.e.c;53.6;0.2;;0.0;;0.0;;0.0
21.10 Manufacture of basic;pharmaceutical products;4.5;0.0;;0.0;;0.0;;0.0
21.20 Manufacture of;pharmaceutical;preparations;;;;;;;
22.11 Manufacture of;rubber tyres and tubes;retreading and rebuilding of rubber tyres;;;;;;;
22.19 Manufacture of other;rubber products;;;;;;;
22.21 Manufacture of;plastic plates, sheets, tubes;and profiles;0.3;;0.0;;0.0;;0.0
22.22 Manufacture of;plastic packing goods;1.0;;0.0;;0.0;;0.0
22.29 Manufacture of other;plastic products;1.0;;0.0;;0.0;;0.0
23.13 Manufacture of;hollow glass;;;;;;;
23.32 Manufacture of;bricks, tiles and;construction products, in;baked clay;9.9;7.7;;0.0;;0.0
23.41 Manufacture of;ceramic household and;ornamental articles;;;;;;;
23.51 Manufacture of;cement;32.6;1.7;;0.0;;0.0"
