";Based on the CapEx KPI Breakdown by sector - NACE 4 digits level (code and label)” 27.12 Manufacture of;Climate Change Mitigation (CCM);Climate Change Adaptation (CCA)
;;Non-Financial corporates (Subject to NFRD);SMEs and other NFC not subject to NFRD;Non-Financial corporates (Subject to NFRD);SMEs and other NFC not subject to NFRD
;[Gross] carrying million €;amount Of which environ- mentally sustainable (ccm);[Gross] carrying million €;amount Of which environ- mentally sustainable (CCM);[Gross] carrying million €;amount Of which environ- mentally sustainable (CCA);[Gross] carrying million €;amount Of which environ- mentally sustainable (CCA)
72;electricity distribution and control apparatus;49.8;43.9;x;;x;;x;x
73;27.20 Manufacture of batteries and accumulators;2.5;;x;;x;;x;x
74;27.31 Manufacture of fibre optic cables;0.0;0.0;x;;x;;x;x
75;27.32 Manufacture of other electronic and electric wires and cables;;;x;;x;;x;x
76;27.40 Manufacture of electric lighting equipment;4.7;0.7;x;;x;;x;x
77;27.51 Manufacture of electric domestic appliances;0.2;0.2;x;;0.3;0.3;x;x
78;27.52 Manufacture of non- electric domestic appliances;0.2;;x;;x;;x;x
79;27.90 Manufacture of other electrical equipment;0.3;;x;;x;;x;x
80;28.11 Manufacture of engines and turbines, except aircraft, vehicle and cycle engines;4.7;0.9;x;;x;;x;x
81;28.13 Manufacture of other pumps and compressors;0.0;;x;;x;;x;x
82;28.15 Manufacture of bearings, gears, gearing and driving elements;1.0;;x;;x;;x;x
83;28.21 Manufacture of ovens, furnaces and furnace burners;0.2;0.2;x;;x;;x;x
84;28.22 Manufacture of lifting and handling equipment;19.5;;x;;x;;x;x
85;28.29 Manufacture of other general-purpose machinery n.e.c;20.5;1.0;x;;x;;x;x
86;28.41 Manufacture of metal forming machinery;1.4;0.0;x;;0.7;0.7;x;x
87;28.49 Manufacture of other machine tools;0.3;;x;;x;;x;x
88;28.91 Manufacture of machinery for metallurgy;8.2;3.7;x;;x;;x;x"
