";Based on the CapEx KPI Breakdown by sector - NACE 4 digits level (code and label)”;;Climate Change Mitigation (CCM);;Climate Change Adaptation (CCA);
;;Non-Financial corporates (Subject to NFRD);SMEs and other NFC not subject to NFRD;Non-Financial corporates (Subject to NFRD);SMEs and other NFC not subject to NFRD;
[Gross] carrying million €;amount Of which environ- mentally sustainable;[Gross] carrying million €;amount Of which environ- mentally sustainable;[Gross] carrying million €;amount Of which environ- mentally sustainable;[Gross] carrying million €;amount Of which environ- mentally sustainable
49.10 Passenger rail;transport, interurban;160.2;;x;x;;x;x
49.39 Other passenger land transport n.e.c.;12.5;1.4;x;x;;x;x
49.41 Freight transport by road;;;x;x;;x;x
50.20 Sea and coastal freight water transport;;;x;x;;x;x
51.10 Passenger air transport;62.3;;x;x;;x;x
52.21 Service activities incidental to land transportation;1.9;;x;x;;x;x
52.23 Service activities incidental to air transportation;348.6;61.7;x;x;;x;x
52.29 Other transportation support activities;0.5;;x;x;;x;x
55.10 Hotels and similar accommodation;79.6;;x;x;;x;x
55.20 Holiday and other short-stay accommodation;1.1;;x;x;;x;x
56.10 Restaurants and mobile food service activities;0.2;;x;x;;x;x
56.21 Event catering activities;0.5;;x;x;;x;x
56.29 Other food service activities;0.8;;x;x;;x;x
58.13 Publishing of newspapers;0.0;;x;x;;x;x
58.19 Other publishing activities;0.4;;x;x;;x;x
59.11 Motion picture, video and television programme production activities;;;x;x;;x;x
59.20 Sound recording and music publishing activities;0.0;;x;x;;x;x
60.20 Television programming and broadcasting activities;9.6;0.1;x;x;0.0;0.0;x;x
61.10 Wired telecommunications activities;;;x;x;;x;x
61.20 Wireless telecommunications activities;0.1;0.0;x;x;0.1;0.0;x;x
61.90 Other telecommunications activities;15.8;0.2;x;x;3.1;0.0;x;x"
