"; ;ag;ah;ai;aj;ak;al;am;an;ao
;Disclosure reference date T-1 Based on the CapEx KPI % (compared to total covered assets in the denominator)"";""Climate Change Mitigation (CCM) Proportion of total covered assets funding taxonomy relevant"";""Climate Change Adaptation (CCA) Proportion of total covered assets funding taxonomy relevant sectors (Taxonomy-eligible)""; ; ; ; ; ; 
; ; ; ; ; ; ; ; ; ; 
; ; ;Of which Use of Proceeds;Of which transitional;Of which enabling; ;(Taxonomy-aligned);Of which specialised lending;Of which enabling; 
;GAR - Covered assets in both numerator and denominator;x;x;x;x;x;x;x;x;x
;Loans and advances, debt securities and equity instruments not HfT eligible for GAR; ; ; ; ; ; ; ; ; 
1;calculation Financial undertakings; ; ; ; ; ; ; ; ; 
2;Credit institutions; ; ; ; ; ; ; ; ; 
3;Loans and advances; ; ; ; ; ; ; ; ; 
;Debt securities, including; ; ; ; ; ; ; ; ; 
4;UoP?; ; ; ; ; ; ; ; ; 
5;Equity instruments; ; ;x; ; ; ;x; ; 
6;Other financial corporations; ; ; ; ; ; ; ; ; 
7;of which investment firms; ; ; ; ; ; ; ; ; 
8;Loans and advances; ; ; ; ; ; ; ; ; 
;Debt securities, including; ; ; ; ; ; ; ; ; 
9;UoP?; ; ; ; ; ; ; ; ; 
10;Equity instruments; ; ;x; ; ; ;x; ; 
11;of which management; ; ; ; ; ; ; ; ; 
12;companies; ; ; ; ; ; ; ; ; 
13;Loans and advances; ; ; ; ; ; ; ; ; 
;Debt securities, including; ; ; ; ; ; ; ; ; 
14;UoP?; ; ; ; ; ; ; ; ; 
15;Equity instruments; ; ;x; ; ; ;x; ; 
;of which insurance; ; ; ; ; ; ; ; ; 
16;undertakings; ; ; ; ; ; ; ; ; 
17;Loans and advances; ; ; ; ; ; ; ; ; 
;Debt; ; ; ; ; ; ; ; ; 
;securities, including; ; ; ; ; ; ; ; ; 
18;UoP?; ; ; ; ; ; ; ; ; 
19;Equity instruments; ; ;x; ; ; ;x; ; 
20;Non-financial undertakings; ; ; ; ; ; ; ; ; 
21;Loans and advances; ; ; ; ; ; ; ; ; 
;Debt securities, including; ; ; ; ; ; ; ; ; 
22;UoP?; ; ; ; ; ; ; ; ; 
23;Equity instruments; ; ;x; ; ; ;x; ; 
24;Households; ; ; ; ; ; ; ; ; 
25;of which loans collateralised by residential; ; ; ; ; ; ; ; ; 
26;immovable property; ; ; ; ; ; ; ; ; 
27;of which building renovation loans; ; ; ; ; ; ; ; ; 
28;of which motor vehicle loans; ; ;x;x;x;x 
29;Local governments financing; ; ; ; ; ; ; ; ; 
30;Housing financing; ; ; ; ; ; ; ; ; 
31;Other local government financing; ; ; ; ; ; ; ; ; 
32;Collateral obtained by taking possession: residential and commercial immovable properties; ; ; ; ; ; ; ; ;"
