";Based on the Turnover KPI Breakdown by sector - NACE 4 digits level (code and label)” ;Non-Financial (Subject ;to NFRD) ;SMEs and other NFC not subject to NFRD [Gross] carrying amount ;corporates [Gross] carrying amount ;Of which environmentally sustainable (CCM + CCA + WTR + CE + PPC + BIO) ;Of which environmentally sustainable (CCM + CCA + WTR + CE + PPC + BIO)
106 ;35.14 Trade of electricity ;3.2 ;3.2 ;x ;x
107 ;35.30 Steam and air conditioning supply ;0.8 ; ;x ;x
108 ;36.00 Water collection, treatment and supply ;18.8 ;13.1 ;x ;x
109 ;38.21 Treatment and disposal of non-hazardous waste ;0.0 ; ;x ;x
110 ;38.32 Recovery of sorted materials ;0.5 ; ;x ;x
111 ;39.00 Remediation activities and other waste management services ; ; ;x ;x
112 ;41.10 Development of building projects ;57.8 ; ;x ;x
113 ;41.20 Construction of residential and non-residential buildings ;35.5 ;4.8 ;x ;x
114 ;42.12 Construction of railways and underground railways ;0.6 ; ;x ;x
115 ;42.91 Construction of water projects ; ; ;x ;x
116 ;42.99 Construction of other civil engineering projects n.e.c. ;30.5 ;2.3 ;x ;x
117 ;43.21 Electrical installation ;0.5 ; ;x ;x
118 ;43.22 Plumbing, heat and air-conditioning installation ;0.8 ;0.0 ;x ;x
119 ;43.29 Other construction installation ;34.3 ;27.6 ;x ;x
120 ;43.33 Floor and wall covering ;0.0 ; ;x ;x
121 ;43.91 Roofing activities ;0.1 ; ;x ;x
122 ;43.99 Other specialised construction activities n.e.c. ;10.2 ; ;x ;x
123 ;45.11 Sale of cars and light motor vehicles ;0.5 ; ;x ;x
124 ;45.19 Sale of other motor vehicles ;0.3 ; ;x ;x
125 ;45.20 Maintenance and repair of motor vehicles ;3.5 ; ;x ;x
126 ;45.31 Wholesale trade of motor vehicle parts and accessories ; ; ;x ;x"
