"; % (compared to flow of total eligible assets); Proportion of total covered assets funding taxonomy relevant sectors (Taxonomy-aligned); Of which; Of which; Of which; 
; GAR - Covered assets in both numerator and denominator; x; x; x; x; x; x
1; Loans and advances, debt securities and equity instruments not HfT eligible for GAR calculation; 5.3; 0.8; 0.7; 0; 0; 6.7
2; Financial undertakings; 0.1; ; ; ; ; 0.6
3; Credit institutions; 0; ; ; ; ; 0.5
4; Loans and advances; 0; ; ; ; ; 0.1
5; Debt securities, including UoP; 0; ; ; ; ; 0.5
6; Equity instruments; ; ; x; ; ; 
7; Other financial corporations; 0; ; ; ; ; 0.1
8; of which investment firms; ; ; ; ; ; 0
9; Loans and advances; ; ; ; ; ; 0
10; Debt securities, including UoP; ; ; ; ; ; 
11; Equity instruments; ; ; x; ; ; 
12; of which management companies; 0; ; ; ; ; 0
13; Loans and advances; 0; ; ; ; ; 0
14; Debt securities, including UoP; ; ; ; ; ; 0
15; Equity instruments; ; ; x; ; ; 
16; of which insurance undertakings; 0; ; ; ; ; 0
17; Loans and advances; 0; ; ; ; ; 0
18; Debt securities, including UoP; ; ; ; ; ; 
19; Equity instruments; ; ; x; ; ; 
20; Non-financial undertakings; 0.9; 0.2; 0.2; 0; 0; 1.4
21; Loans and advances; 0.9; 0.2; 0.2; 0; 0; 1.3
22; Debt securities, including UoP; 0; 0; ; 0; 0; 0.1
23; Equity instruments; ; ; x; ; ; 
24; Households; 4.4; 0.5; 0.5; ; ; 3.9
25; of which loans collateralised by residential immovable property; 3.5; 0.4; 0.4; ; ; 2.5
26; of which building renovation loans; 0.2; ; ; ; ; 0.1
27; of which motor vehicle loans; 0; ; ; ; ; 0
28; Local governments financing; 0; ; ; ; ; 0.9
29; Housing financing; ; ; ; ; ; 
30; Other local government financing; 0; ; ; ; ; 0.9
31; Collateral obtained by taking possession: residential and commercial immovable properties; ; ; ; ; ; 
32; Total GAR assets; 5.3; 0.8; 0.7; 0; 0; 0"
