"Non-Financial corporates (Subject to NFRD);amount Of which environ- mentally sustainable (ccm);SMEs and other NFC not subject to NFRD;amount Of which environ- mentally sustainable (ccm);Non-Financial corporates (Subject to NFRD);amount Of which environ- mentally sustainable (CCA);SMEs and other NFC not subject to NFRD;amount Of which environ- mentally sustainable (CCA)
145;Based on the CapEx KPI Breakdown by sector - NACE 4 level (code and label);Climate Change Mitigation (CCM);Climate Change Adaptation (CCA); 
;46.77 Wholesale of waste and scrap;0.0;x;x;;x;x
;46.90 Non-specialised wholesale trade;1.5;0.0;x;x;;x;x
;47.11 Retail sale in non-specialised stores with food, beverages or tobacco;14.1;0.5;x;x;;x;x
;47.19 Other retail sale in non-specialised stores;0.2;x;x;;x;x
;47.22 Retail sale of meat and meat products in specialised stores;1.7;x;x;;x;x
;47.29 Other retail sale of food in specialised stores;11.6;x;x;;x;x
;47.30 Retail sale of automotive fuel in specialised stores;1.2;x;x;;x;x
;47.43 Retail sale of audio and video equipment in specialised stores;0.5;x;x;;x;x
;47.51 Retail sale of textiles in specialised stores;1.1;x;x;;x;x
;47.52 Retail sale of hardware, paints and glass in specialised stores;3.5;x;x;;x;x
;47.59 Retail sale of furniture, lighting equipment and other household articles in specialised stores;0.1;x;x;;x;x
;47.71 Retail sale of clothing in specialised stores;0.0;x;x;;x;x
;47.72 Retail sale of footwear and leather goods in specialised stores;0.1;x;x;;x;x
;47.73 Dispensing chemist in specialised stores;1.1;x;x;;x;x
;47.78 Other retail sale of new goods in specialised stores;2.2;x;x;;x;x
;47.91 Retail sale via mail order houses or via Internet;4.6;x;x;;x;x
;47.99 Other retail sale not in stores, stalls or markets;0.1;x;x;;x;x"
