";Based on the Turnover KPI Breakdown by sector - NACE 4 digits level (code and label)” ;Climate Change Non-Financial corporates (Subject to NFRD) [Gross] carrying amount ;Mitigation (CCM) SMEs and other NFC not subject to NFRD [Gross] carrying amount ;Climate Change Non-Financial corporates (Subject to NFRD) [Gross] carrying amount ;Adaptation (CCA) SMEs and other NFC not subject to NFRD [Gross] carrying amount
;million €;Of which environ- mentally sustainable (CCM);million €;Of which environ- mentally sustainable (CCM);million €;Of which environ- mentally sustainable (CCA);million €;Of which environ- mentally sustainable (CCA)
98;30.40 Manufacture of military fighting vehicles;44.2;;x;;x;;x;x
99;30.99 Manufacture of other transport equipment n.e.c.;16.1;0.0;x;;x;;x;x
100;31.09 Manufacture of other furniture;0.5;;x;;x;;x;x
101;32.40 Manufacture of games and toys;0.2;;x;;x;;x;x
102;32.50 Manufacture of medical and dental instruments and supplies;0.1;;x;;x;;x;x
103;32.99 Other manufacturing n.e.c.;6.8;0.0;x;;x;;x;x
104;35.11 Production of electricity;3223.5;2986.5;x;;x;;x;x
105;35.12 Transmission of electricity;;;;x;;x
106;35.14 Trade of electricity;;;;x;;3.2;3.2;x
107;35.30 Steam and air conditioning supply;0.8;;x;;x;;x;x
108;36.00 Water collection, treatment and supply;18.8;13.1;x;;x;;x;x
109;38.21 Treatment and disposal of non-hazardous waste;0.0;;x;;x;;x;x
110;38.32 Recovery of sorted materials;0.5;;x;;x;;x;x
111;39.00 Remediation activities and other waste management services;;;;x;;x
112;41.10 Development of building projects;57.8;;x;;x;;x;x
113;41.20 Construction of residential and non-residential buildings;33.4;4.4;x;;2.1;0.4;x;x
114;42.12 Construction of railways and underground railways;0.6;;x;;x;;x;x
115;42.91 Construction of water projects;;;;x;;x
116;42.99 Construction of other civil engineering projects n.e.c.;29.4;2.2;x;;1.1;0.1;x;x"
